split_label,sample_type,strategy_name,train_start,train_end,test_start,test_end,total_return,annual_return,max_drawdown,profit_factor,trade_count,average_R,win_rate,sharpe,sortino,calmar
2024_test,train,v5_a_baseline,2019-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,0.00418765777530683,0.0010346462027732706,-0.007798338629792845,1.1931422207513387,23,0.03728637308349161,0.34782608695652173,0.058822959324105535,0.009132591279309737,0.13267520838611685
2024_test,train,v5_e_close_rsi_ema55,2019-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,0.0026460464026036856,0.000654138001009219,-0.0067804028466548205,1.2625383261462382,13,0.0415135885075025,0.38461538461538464,0.0517045281603689,0.006613889687395613,0.09647479888778947
2025_test,test,v5_a_baseline,2019-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,0.008581495834351083,0.0086110917767932,-0.012636734970622787,1.4174206762919515,15,0.11654391348487937,0.2,0.17962723052535662,0.07971997224668627,0.6814332813667305
2025_test,test,v5_e_close_rsi_ema55,2019-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,0.0059945089449642275,0.006015156272986211,-0.007873811720554125,1.578485632678535,9,0.13504679190756158,0.2222222222222222,0.17433521204769706,0.1195406561262317,0.7639446416129049
2025_test,train,v5_a_baseline,2019-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,0.012648202350897142,0.0024953906969198414,-0.007798338629792845,1.526887925500106,30,0.08475237260867526,0.36666666666666664,0.13584678923904223,0.022092175076911646,0.31999004087696675
2025_test,train,v5_e_close_rsi_ema55,2019-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,0.012468471658180658,0.0024601067194691684,-0.007639568200419777,2.13908674008302,16,0.15601671145659762,0.4375,0.16867653094860724,0.02572731012037386,0.3220216974218505
2026_test,test,v5_a_baseline,2019-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,2027-01-01T00:00:00+00:00,0.013396608909893803,0.03249458411456141,-0.009374577451657151,2.396925354750747,7,0.38792047261883394,0.14285714285714285,0.36650800863049476,0.3518221836173827,3.4662452022109345
2026_test,test,v5_e_close_rsi_ema55,2019-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,2027-01-01T00:00:00+00:00,0.016687200836092986,0.04056911925085793,-0.006157925660378871,3.648982404663952,5,0.6726337851999263,0.2,0.456656859180815,0.4248301853065595,6.588114486650345
2026_test,train,v5_a_baseline,2019-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,2027-01-01T00:00:00+00:00,0.021338238681034793,0.003500358967674755,-0.012636734970622787,1.4760459787038895,45,0.09534955290074332,0.3111111111111111,0.13618782371071372,0.03084712725888702,0.27699868485112683
2026_test,train,v5_e_close_rsi_ema55,2019-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,2027-01-01T00:00:00+00:00,0.018537722968029913,0.0030444572016452565,-0.007873811720554014,1.864727602419637,25,0.1484675404189447,0.36,0.15735306019314488,0.037958955001482504,0.38665608344404806
