split_label,sample_type,strategy_name,train_start,train_end,test_start,test_end,total_return,annual_return,max_drawdown,profit_factor,trade_count,average_R,win_rate,sharpe,sortino,calmar
2022_test,test,v5_a_baseline,2019-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,2023-01-01T00:00:00+00:00,0.007897529818143179,0.007924757636229574,-0.007798338629792845,1.489885470944603,18,0.08854051617328998,0.4444444444444444,0.2271540866813591,0.0660959702303453,1.0162110178126602
2022_test,test,v5_e_close_rsi_ema55,2019-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,2023-01-01T00:00:00+00:00,0.0051980554265111945,0.005215952364570731,-0.00505380314352466,1.9192467598118874,10,0.10467764378976807,0.5,0.21463408279003776,0.0551069898902669,1.0320845938080967
2022_test,train,v5_a_baseline,2019-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,2023-01-01T00:00:00+00:00,0.0008265024310381008,0.00040457958077433354,-0.0007183095911762472,1.695080216639436,3,0.05523733016201666,0.3333333333333333,0.1079039583968745,0.028413757613178263,0.563238450027969
2022_test,train,v5_e_close_rsi_ema55,2019-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,2023-01-01T00:00:00+00:00,0.0012967663099165971,0.0006347014144432173,-0.0007183095911762472,2.8016696803752064,2,0.129821479872665,0.5,0.1730930851477119,0.0,0.8836042595559392
2023_test,test,v5_a_baseline,2019-01-01T00:00:00+00:00,2023-01-01T00:00:00+00:00,2023-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,-0.001955208284157406,-0.0019619160075555753,-0.001955208284157406,0.0,2,-0.1956073347614252,0.0,-0.5518041909563658,-0.056415083019240544,-1.003430695058179
2023_test,test,v5_e_close_rsi_ema55,2019-01-01T00:00:00+00:00,2023-01-01T00:00:00+00:00,2023-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,-0.001280513579416831,-0.0012849081211623314,-0.001280513579416831,0.0,1,-0.25610271588336586,0.0,-0.40834152976859905,0.0,-1.0034318587605309
2023_test,train,v5_a_baseline,2019-01-01T00:00:00+00:00,2023-01-01T00:00:00+00:00,2023-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,0.006750921110907138,0.0022144086606337154,-0.007798338629792845,1.3505872417835525,21,0.06510582278405533,0.42857142857142855,0.10865194296047945,0.01845524707318095,0.2839590284235373
2023_test,train,v5_e_close_rsi_ema55,2019-01-01T00:00:00+00:00,2023-01-01T00:00:00+00:00,2023-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,0.0045262983511540344,0.0014858013763507927,-0.005053803143524549,1.5430003702343502,12,0.07618336620857523,0.5,0.1017782435702401,0.013729522678688348,0.293996686090663
2024_test,test,v5_a_baseline,2019-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,0.008425262459741845,0.008431057446065982,-0.0014371206661497604,4.640889504056738,7,0.24071208533427865,0.42857142857142855,0.4099653333883093,0.14155647649906342,5.866631553392047
2024_test,test,v5_e_close_rsi_ema55,2019-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,0.009796503253385325,0.009803245969771446,-0.0008650306097738314,12.325036527835785,3,0.6521969109026765,0.6666666666666666,0.4818134032049465,0.0,11.332831299847964
