strategy_name,period_freq,period_label,period_start_equity,period_end_equity,period_return,trade_count,win_rate,max_drawdown,profit_factor,schedule_name,cost_scenario_name,description
v8_a_flat_1_0__base_cost,M,2021-05,100000.0,99953.03451537035,-0.00046965484629646337,1,0.0,-0.00046965484629646337,0.0,v8_a_flat_1_0,base_cost,Flat baseline under original cost assumptions
v8_a_flat_1_0__base_cost,M,2021-12,99953.03451537035,100154.5922473154,0.0020165243899028518,1,1.0,0.0,999.0,v8_a_flat_1_0,base_cost,Flat baseline under original cost assumptions
v8_a_flat_1_0__base_cost,M,2022-01,100154.5922473154,100582.12836972512,0.004268762048913244,4,0.5,-0.0031668502551261968,1.7275272146477776,v8_a_flat_1_0,base_cost,Flat baseline under original cost assumptions
v8_a_flat_1_0__base_cost,M,2022-02,100582.12836972512,100437.36299309677,-0.0014392753362327815,1,0.0,-0.0014392753362327815,0.0,v8_a_flat_1_0,base_cost,Flat baseline under original cost assumptions
v8_a_flat_1_0__base_cost,M,2022-03,100437.36299309677,100178.17066066054,-0.002580636574996964,1,0.0,-0.002580636574996964,0.0,v8_a_flat_1_0,base_cost,Flat baseline under original cost assumptions
v8_a_flat_1_0__base_cost,M,2022-04,100178.17066066054,100040.04295734476,-0.0013788203797778786,1,0.0,-0.0013788203797778786,0.0,v8_a_flat_1_0,base_cost,Flat baseline under original cost assumptions
v8_a_flat_1_0__base_cost,M,2022-05,100040.04295734476,100846.33402165979,0.008059683307601206,2,1.0,0.0,999.0,v8_a_flat_1_0,base_cost,Flat baseline under original cost assumptions
v8_a_flat_1_0__base_cost,M,2022-07,100846.33402165979,100493.59355548496,-0.003497801576992088,1,0.0,-0.003497801576992088,0.0,v8_a_flat_1_0,base_cost,Flat baseline under original cost assumptions
v8_a_flat_1_0__base_cost,M,2022-08,100493.59355548496,100650.38405229835,0.0015602039022202252,1,1.0,0.0,999.0,v8_a_flat_1_0,base_cost,Flat baseline under original cost assumptions
v8_a_flat_1_0__base_cost,M,2022-09,100650.38405229835,100794.09732871309,0.0014278462796530889,5,0.4,-0.0019740956383660357,1.5456215364431458,v8_a_flat_1_0,base_cost,Flat baseline under original cost assumptions
v8_a_flat_1_0__base_cost,M,2022-10,100794.09732871309,100772.16331948368,-0.00021761204089043584,1,0.0,-0.00021761204089043584,0.0,v8_a_flat_1_0,base_cost,Flat baseline under original cost assumptions
v8_a_flat_1_0__base_cost,M,2022-11,100772.16331948368,100661.33516912966,-0.0010997893337136855,1,0.0,-0.0010997893337136855,0.0,v8_a_flat_1_0,base_cost,Flat baseline under original cost assumptions
v8_a_flat_1_0__base_cost,M,2023-01,100661.33516912966,100615.49001712672,-0.00045543953818916183,1,0.0,-0.00045543953818916183,0.0,v8_a_flat_1_0,base_cost,Flat baseline under original cost assumptions
