strategy_name,schedule_name,cost_scenario_name,period_freq,period_count,positive_periods,positive_period_rate,median_period_return,worst_period_return,worst_period_drawdown,median_profit_factor,average_trade_count
v8_d_strong_1_5_weak_0_5__base_cost,v8_d_strong_1_5_weak_0_5,base_cost,Q,17,6,0.35294117647058826,-0.00043001413689403023,-0.004975062109002781,-0.01040554598748722,0.0,3.0588235294117645
v8_a_flat_1_0__base_cost,v8_a_flat_1_0,base_cost,Q,17,7,0.4117647058823529,-0.00046965484629646337,-0.006831266164848637,-0.008521878234096003,0.0,3.0588235294117645
v8_c_strong_1_25_weak_0_5__stress_cost_2_0x,v8_c_strong_1_25_weak_0_5,stress_cost_2_0x,Q,17,6,0.35294117647058826,-0.0004799537242767826,-0.004743181073102898,-0.00946659497115565,0.0,3.0588235294117645
v8_d_strong_1_5_weak_0_5__stress_cost_2_0x,v8_d_strong_1_5_weak_0_5,stress_cost_2_0x,Q,17,6,0.35294117647058826,-0.0004799537242767826,-0.005148429477344063,-0.011110274745153137,0.0,3.0588235294117645
v8_a_flat_1_0__stress_cost_2_0x,v8_a_flat_1_0,stress_cost_2_0x,Q,17,6,0.35294117647058826,-0.0006507943166287333,-0.0070480636014688125,-0.009033149584720457,0.0,3.0588235294117645
