strategy_name,period_freq,period_label,period_start_equity,period_end_equity,period_return,trade_count,win_rate,max_drawdown,profit_factor,schedule_name,cost_scenario_name,description
v8_a_flat_1_0__base_cost,Q,2021Q2,100000.0,99953.03451537035,-0.00046965484629646337,1,0.0,-0.00046965484629646337,0.0,v8_a_flat_1_0,base_cost,Flat baseline under original cost assumptions
v8_a_flat_1_0__base_cost,Q,2021Q4,99953.03451537035,100154.5922473154,0.0020165243899028518,1,1.0,0.0,999.0,v8_a_flat_1_0,base_cost,Flat baseline under original cost assumptions
v8_a_flat_1_0__base_cost,Q,2022Q1,100154.5922473154,100178.17066066054,0.0002354201920857779,6,0.3333333333333333,-0.0064283818338966014,1.0237778082308124,v8_a_flat_1_0,base_cost,Flat baseline under original cost assumptions
v8_a_flat_1_0__base_cost,Q,2022Q2,100178.17066066054,100846.33402165979,0.0066697500722243674,3,0.6666666666666666,-0.0013788203797778786,5.837287126042728,v8_a_flat_1_0,base_cost,Flat baseline under original cost assumptions
v8_a_flat_1_0__base_cost,Q,2022Q3,100846.33402165979,100794.09732871309,-0.0005179830625818838,7,0.42857142857142855,-0.003497801576992088,0.9152186396426898,v8_a_flat_1_0,base_cost,Flat baseline under original cost assumptions
v8_a_flat_1_0__base_cost,Q,2022Q4,100794.09732871309,100661.33516912966,-0.001317162047202669,2,0.0,-0.001317162047202669,0.0,v8_a_flat_1_0,base_cost,Flat baseline under original cost assumptions
v8_a_flat_1_0__base_cost,Q,2023Q1,100661.33516912966,100615.49001712672,-0.00045543953818916183,1,0.0,-0.00045543953818916183,0.0,v8_a_flat_1_0,base_cost,Flat baseline under original cost assumptions
v8_a_flat_1_0__base_cost,Q,2023Q2,100615.49001712672,100486.6505158601,-0.001280513579416942,1,0.0,-0.001280513579416942,0.0,v8_a_flat_1_0,base_cost,Flat baseline under original cost assumptions
v8_a_flat_1_0__base_cost,Q,2023Q3,100486.6505158601,100418.76577753067,-0.0006755597681974423,1,0.0,-0.0006755597681974423,0.0,v8_a_flat_1_0,base_cost,Flat baseline under original cost assumptions
v8_a_flat_1_0__base_cost,Q,2024Q2,100418.76577753067,100331.6865573549,-0.0008671608289698707,2,0.0,-0.0008671608289698707,0.0,v8_a_flat_1_0,base_cost,Flat baseline under original cost assumptions
