strategy_name,test_window_count,positive_test_windows,pf_gt1_test_windows,median_test_return,median_test_profit_factor,worst_test_drawdown
v7_d_strong_1_5_weak_0_5,5,4,4,0.010250500681745045,1.6638594910254036,-0.010831085592504452
v7_c_strong_1_25_weak_0_5,5,4,4,0.00878594289836565,1.6372111486662775,-0.009299726322286372
v7_b_strong_1_0_weak_0_5,5,4,4,0.007311118450315401,1.6027656182797605,-0.007766759822530833
v7_a_flat_1_0,5,4,4,0.008425262459741845,1.489885470944603,-0.012636734970622787
