split_label,sample_type,strategy_name,total_return,annual_return,max_drawdown,profit_factor,trade_count,average_R,win_rate,sharpe,sortino,calmar
2022_test,test,v7_a_flat_1_0,0.007897529818143179,0.007924757636229574,-0.007798338629792845,1.489885470944603,18,0.08854051617328998,0.4444444444444444,0.2271540866813591,0.0660959702303453,1.0162110178126602
2022_test,test,v7_b_strong_1_0_weak_0_5,0.00656016651711111,0.0065827685480304154,-0.005536203959871755,1.6027656182797605,18,0.08854051617328998,0.4444444444444444,0.24046533906219375,0.08323395783074553,1.189040106857426
2022_test,test,v7_c_strong_1_25_weak_0_5,0.007850244225759972,0.007877308384044657,-0.006352095665068891,1.6372111486662775,18,0.08854051617328998,0.4444444444444444,0.23978947797043682,0.08229176069687247,1.2401117362515706
2022_test,test,v7_d_strong_1_5_weak_0_5,0.009135849810610885,0.009167366288938439,-0.007167897505903298,1.6638594910254036,18,0.08854051617328998,0.4444444444444444,0.23826026307017395,0.08002910098830468,1.2789477362627506
2022_test,train,v7_a_flat_1_0,0.0008265024310381008,0.00040457958077433354,-0.0007183095911762472,1.695080216639436,3,0.05523733016201666,0.3333333333333333,0.1079039583968745,0.028413757613178263,0.563238450027969
2022_test,train,v7_b_strong_1_0_weak_0_5,0.001061634370477238,0.000519647394441991,-0.0007183095911763582,2.112338678190296,3,0.05523733016201666,0.3333333333333333,0.1409357276823613,0.018754803712409385,0.7234309562691167
2022_test,train,v7_c_strong_1_25_weak_0_5,0.0013852972724257562,0.0006780175326785987,-0.00089788698897042,2.2207775974723503,3,0.05523733016201666,0.3333333333333333,0.1474766567739258,0.017849249806775498,0.755125690657419
2022_test,train,v7_d_strong_1_5_weak_0_5,0.0017087791557912624,0.0008362729959450199,-0.0010774643867643707,2.29915828273496,3,0.05523733016201666,0.3333333333333333,0.15181292224187412,0.01732966760890896,0.7761490831788423
2023_test,test,v7_a_flat_1_0,-0.001955208284157406,-0.0019619160075555753,-0.001955208284157406,0.0,2,-0.1956073347614252,0.0,-0.5518041909563658,-0.056415083019240544,-1.003430695058179
2023_test,test,v7_b_strong_1_0_weak_0_5,-0.001617860931787174,-0.0016234122607505785,-0.001617860931787174,0.0,2,-0.1956073347614252,0.0,-0.4990435667907696,-0.029950257666686034,-1.003431276974636
2023_test,test,v7_c_strong_1_25_weak_0_5,-0.00193788119370919,-0.0019445295310709376,-0.00193788119370919,0.0,2,-0.1956073347614252,0.0,-0.48390121402499625,-0.02678087023221325,-1.0034307249501826
2023_test,test,v7_d_strong_1_5_weak_0_5,-0.002257901455631206,-0.002265646447807912,-0.002257901455631206,0.0,2,-0.1956073347614252,0.0,-0.4729313107432126,-0.024893374156736058,-1.003430172808202
2023_test,train,v7_a_flat_1_0,0.006750921110907138,0.0022144086606337154,-0.007798338629792845,1.3505872417835525,21,0.06510582278405533,0.42857142857142855,0.10865194296047945,0.01845524707318095,0.2839590284235373
2023_test,train,v7_b_strong_1_0_weak_0_5,0.005651289196250797,0.001854393009334876,-0.005536203959871977,1.4097327534716793,21,0.06510582278405533,0.42857142857142855,0.11401609978134754,0.0199904636261966,0.3349574948423248
2023_test,train,v7_c_strong_1_25_weak_0_5,0.006770157873700278,0.0022207043599367093,-0.006352095665068891,1.4258436323817523,21,0.06510582278405533,0.42857142857142855,0.11352341893383934,0.019268152117884137,0.3496018443407094
2023_test,train,v7_d_strong_1_5_weak_0_5,0.00788344325583279,0.0025849166516531685,-0.007167897505903409,1.4377310545377382,21,0.06510582278405533,0.42857142857142855,0.11271562306913921,0.018559460997733306,0.3606241090255904
2024_test,test,v7_a_flat_1_0,0.008425262459741845,0.008431057446065982,-0.0014371206661497604,4.640889504056738,7,0.24071208533427865,0.42857142857142855,0.4099653333883093,0.14155647649906342,5.866631553392047
2024_test,test,v7_b_strong_1_0_weak_0_5,0.009110859395674353,0.009117128071173042,-0.0008660957193717955,6.73153593888101,7,0.24071208533427865,0.42857142857142855,0.4470024386977174,0.2169014895805808,10.526697993364937
2024_test,test,v7_c_strong_1_25_weak_0_5,0.011562545951487646,0.011570511144509688,-0.0010823531412778031,7.398464657792804,7,0.24071208533427865,0.42857142857142855,0.4541659772501082,0.22883655466586655,10.690144189769512
2024_test,test,v7_d_strong_1_5_weak_0_5,0.014015918286854667,0.014025585240853733,-0.0012986105631839218,7.922944283915885,7,0.24071208533427865,0.42857142857142855,0.45888916333740215,0.23440877534299112,10.800455223824708
2024_test,train,v7_a_flat_1_0,0.00418765777530683,0.0010346462027732706,-0.007798338629792845,1.1931422207513387,23,0.03728637308349161,0.34782608695652173,0.058822959324105535,0.009132591279309737,0.13267520838611685
