timestamp,open,high,low,close,volume,confirmed,ema21,ema55,atr14,rsi14,vol_ma20,highest_high_10,low_prev,ema55_slope_5
2019-11-27 16:00:00+00:00,7500.0,7652.7,7315.5,7350.0,3110.0,True,,,,,,,,
2019-11-28 16:00:00+00:00,7350.0,7800.0,7350.0,7800.0,2149.0,True,,,,,,,7315.5,
2019-11-29 16:00:00+00:00,7700.0,7886.1,7568.6,7820.0,21432.0,True,,,,,,,7350.0,
2019-11-30 16:00:00+00:00,7820.0,7820.0,7820.0,7820.0,0.0,True,,,,,,,7568.6,
2019-12-01 16:00:00+00:00,7820.0,7820.0,7820.0,7820.0,0.0,True,,,,,,,7820.0,
2019-12-02 16:00:00+00:00,7820.0,7820.0,7820.0,7820.0,0.0,True,,,,,,,7820.0,
2019-12-03 16:00:00+00:00,7200.0,7611.6,7135.0,7463.3,77567407.0,True,,,,,,,7820.0,
2019-12-04 16:00:00+00:00,7463.8,7504.5,7091.3,7335.6,750823715.0,True,,,,,,,7135.0,
2019-12-05 16:00:00+00:00,7336.7,7456.9,7263.0,7376.4,798284247.0,True,,,,,,,7091.3,
2019-12-06 16:00:00+00:00,7376.4,7640.5,7371.3,7506.3,818471072.0,True,,,,,,7886.1,7263.0,
2019-12-07 16:00:00+00:00,7506.2,7571.4,7370.0,7550.1,770488810.0,True,,,,,,7886.1,7371.3,
2019-12-08 16:00:00+00:00,7550.2,7717.7,7385.7,7425.0,863160840.0,True,,,,,,7886.1,7370.0,
2019-12-09 16:00:00+00:00,7426.3,7454.8,7215.1,7237.2,1247518068.0,True,,,,,,7820.0,7385.7,
2019-12-10 16:00:00+00:00,7237.6,7279.1,7133.0,7192.1,652326999.0,True,,,282.12067622251686,,,7820.0,7215.1,
2019-12-11 16:00:00+00:00,7192.1,7192.1,7192.1,7192.1,0.0,True,,,261.96919934947994,81.60655522634082,,7820.0,7133.0,
2019-12-12 16:00:00+00:00,7200.0,7367.2,7200.0,7300.0,0.0,True,,,255.76425653880275,82.26338474250151,,7717.7,7192.1,
2019-12-13 16:00:00+00:00,7300.0,7300.0,7300.0,7300.0,0.0,True,,,237.4953810717454,82.26338474250151,,7717.7,7200.0,
2019-12-14 16:00:00+00:00,7300.0,7300.0,7300.0,7300.0,0.0,True,,,220.53142528090646,82.26338474250151,,7717.7,7300.0,
2019-12-15 16:00:00+00:00,7080.0,7137.0,7052.7,7081.3,2311000.0,True,,,222.4434663322703,75.44327289281992,,7717.7,7300.0,
2019-12-16 16:00:00+00:00,7084.8,7110.8,6661.7,6696.5,16968938.0,True,,,238.63321873710817,65.20071872770974,299897389.35,7717.7,7052.7,
2019-12-17 16:00:00+00:00,6697.9,6864.4,6415.7,6823.7,46918234.0,True,7258.701126325428,,253.63798882731473,66.80505863201198,302243145.55,7717.7,6661.7,
2019-12-18 16:00:00+00:00,6827.5,7498.2,6775.5,7136.7,85485648.0,True,7247.610114841298,,287.1424181967922,70.41899829507369,306517320.5,7498.2,6415.7,
2019-12-19 16:00:00+00:00,7141.4,7238.1,7011.6,7155.9,59748058.0,True,7239.272831673907,,282.81081689702137,70.63022614026951,309503651.8,7498.2,6775.5,
2019-12-20 16:00:00+00:00,7155.8,7206.1,7086.3,7133.3,44314944.0,True,7229.638937885369,,271.16718711866275,69.99663752633481,311719399.0,7498.2,7011.6,
2019-12-21 16:00:00+00:00,7133.7,7229.0,7123.2,7175.2,37567896.0,True,7224.689943532153,,259.35524518161543,70.52455663356437,313597793.8,7498.2,7086.3,
2019-12-22 16:00:00+00:00,7178.0,7663.7,7159.0,7583.7,120471206.0,True,7257.327221392866,,276.87987052578575,75.1207425495312,319621354.1,7663.7,7123.2,
2019-12-23 16:00:00+00:00,7576.0,7716.9,7191.1,7278.1,148336536.0,True,7259.215655811696,,294.6598797739439,66.73679488059865,323159810.55,7716.9,7159.0,
2019-12-24 16:00:00+00:00,7276.0,7340.6,7131.6,7191.1,121381888.0,True,7253.023323465178,,288.5413169329479,64.52882556466598,291687719.2,7716.9,7191.1,
2019-12-25 16:00:00+00:00,7191.1,7262.3,7121.7,7230.1,417029.0,True,7250.939384968344,,277.9740800091659,65.08646256193607,251794358.3,7716.9,7131.6,
2019-12-26 16:00:00+00:00,7230.1,7433.7,7087.0,7241.4,888931.0,True,7250.0721681530395,,282.8830742942255,65.2568914478489,210915251.25,7716.9,7121.7,
2019-12-27 16:00:00+00:00,7240.0,7359.0,7179.9,7307.1,986745.0,True,7255.256516502763,,275.4699975589237,66.28731160813842,172440148.0,7716.9,7087.0,
2019-12-28 16:00:00+00:00,7305.6,7417.5,7280.5,7389.0,917159.0,True,7267.415015002512,,265.57928344757204,67.57819232872544,129327963.95,7716.9,7179.9,
2019-12-29 16:00:00+00:00,7392.4,7549.6,7260.9,7265.0,695284.0,True,7267.195468184102,,267.23076320131696,63.607006998328515,66986824.75,7716.9,7280.5,
2019-12-30 16:00:00+00:00,7265.0,7317.9,7178.0,7199.9,207968.0,True,7261.077698349183,,258.13570868693716,61.561655915721026,34380873.2,7716.9,7260.9,
2019-12-31 16:00:00+00:00,7199.9,7255.0,7140.0,7232.9,157798.0,True,7258.516089408348,,247.9117294950131,62.22476910596727,34388763.1,7716.9,7178.0,
2020-01-01 16:00:00+00:00,7233.0,7250.6,7105.1,7132.0,250718.0,True,7247.014626734862,,240.59660595965502,58.88009791156929,34401299.0,7716.9,7140.0,
2020-01-02 16:00:00+00:00,7132.1,7380.0,6863.6,7318.7,767036.0,True,7253.5314788498745,,260.2968483911082,62.85832406028006,34439650.8,7549.6,7105.1,
2020-01-03 16:00:00+00:00,7319.6,7410.4,7263.1,7319.9,341696.0,True,7259.564980772613,,252.2256449346004,62.883179976036345,34456735.6,7549.6,6863.6,
2020-01-04 16:00:00+00:00,7320.0,7496.2,7275.9,7464.4,357305.0,True,7278.186346156921,,249.94524172498612,65.84710415684933,34359050.85,7549.6,7263.1,
2020-01-05 16:00:00+00:00,7464.5,7616.2,7306.9,7518.7,472769.0,True,7300.051223779019,,254.18486731605856,66.91622799712717,33534242.4,7616.2,7275.9,
2020-01-06 16:00:00+00:00,7518.6,8010.0,7512.0,7762.6,701645.0,True,7342.101112526381,,271.6002339363401,71.26710251162774,31223412.95,8010.0,7306.9,
2020-01-07 16:00:00+00:00,7762.5,8473.0,7727.1,8305.7,1476978.0,True,7429.7010113876195,,305.47878865517293,78.15595984411846,27022979.45,8473.0,7512.0,
