split_label,sample_type,strategy_name,schedule_name,cost_scenario_name,total_return,annual_return,max_drawdown,profit_factor,trade_count,average_R,win_rate,sharpe,sortino,calmar
2022_test,test,v8_a_flat_1_0__base_cost,v8_a_flat_1_0,base_cost,0.007897529818143179,0.007924757636229574,-0.007798338629792845,1.489885470944603,18,0.08854051617328998,0.4444444444444444,0.2271540866813591,0.0660959702303453,1.0162110178126602
2022_test,test,v8_b_strong_1_0_weak_0_5__base_cost,v8_b_strong_1_0_weak_0_5,base_cost,0.00656016651711111,0.0065827685480304154,-0.005536203959871755,1.6027656182797605,18,0.08854051617328998,0.4444444444444444,0.24046533906219375,0.08323395783074553,1.189040106857426
2022_test,test,v8_c_strong_1_25_weak_0_5__base_cost,v8_c_strong_1_25_weak_0_5,base_cost,0.007850244225759972,0.007877308384044657,-0.006352095665068891,1.6372111486662775,18,0.08854051617328998,0.4444444444444444,0.23978947797043682,0.08229176069687247,1.2401117362515706
2022_test,test,v8_d_strong_1_5_weak_0_5__base_cost,v8_d_strong_1_5_weak_0_5,base_cost,0.009135849810610885,0.009167366288938439,-0.007167897505903298,1.6638594910254036,18,0.08854051617328998,0.4444444444444444,0.23826026307017395,0.08002910098830468,1.2789477362627506
2022_test,test,v8_e_strong_1_25_weak_0_75__base_cost,v8_e_strong_1_25_weak_0_75,base_cost,0.008522879410220119,0.008552272339912292,-0.007482506825425395,1.57041806411597,18,0.08854051617328998,0.4444444444444444,0.23955473782381642,0.0816386590983764,1.1429688658421076
2022_test,test,v8_f_strong_1_5_weak_0_75__base_cost,v8_f_strong_1_5_weak_0_75,base_cost,0.00980934300304881,0.009843194181893944,-0.008297380579458169,1.598586905119853,18,0.08854051617328998,0.4444444444444444,0.24046533906219994,0.08323395783074825,1.1863013980897474
2022_test,test,v8_a_flat_1_0__stress_cost_1_5x,v8_a_flat_1_0,stress_cost_1_5x,0.006899400746382511,0.006923175570546558,-0.00801263663467966,1.415669132113131,18,0.07752271341550553,0.4444444444444444,0.1996802637363855,0.058064397844529596,0.8640321390068055
2022_test,test,v8_b_strong_1_0_weak_0_5__stress_cost_1_5x,v8_b_strong_1_0_weak_0_5,stress_cost_1_5x,0.005763723481730487,0.005783573615508519,-0.005702646937961076,1.5121913978317634,18,0.07752271341550553,0.4444444444444444,0.21273043893298701,0.07381061655437653,1.0141910727470669
2022_test,test,v8_c_strong_1_25_weak_0_5__stress_cost_1_5x,v8_c_strong_1_25_weak_0_5,stress_cost_1_5x,0.006903876094461525,0.006927666393334642,-0.006547962497292725,1.5412811489340625,18,0.07752271341550553,0.4444444444444444,0.21246088166285032,0.07284114623128521,1.0579880987710155
2022_test,test,v8_d_strong_1_5_weak_0_5__stress_cost_1_5x,v8_d_strong_1_5_weak_0_5,stress_cost_1_5x,0.008039275923358291,0.008066994383606696,-0.007393152276007675,1.5636781260106574,18,0.07752271341550553,0.4444444444444444,0.21133377193858918,0.0706873905905207,1.0911440861005635
2022_test,test,v8_e_strong_1_25_weak_0_75__stress_cost_1_5x,v8_e_strong_1_25_weak_0_75,stress_cost_1_5x,0.007475501260228334,0.007501268668905103,-0.007702259685895996,1.48447244401059,18,0.07752271341550553,0.4444444444444444,0.2116164656553117,0.0723935143140975,0.9739049285290994
2022_test,test,v8_f_strong_1_5_weak_0_75__stress_cost_1_5x,v8_f_strong_1_5_weak_0_75,stress_cost_1_5x,0.008611545662188469,0.008641245684077425,-0.008546467434126792,1.5083082413070155,18,0.07752271341550553,0.4444444444444444,0.2127304389329747,0.07381061655437389,1.0110897573390587
2022_test,test,v8_a_flat_1_0__stress_cost_2_0x,v8_a_flat_1_0,stress_cost_2_0x,0.005906267062281589,0.00592660955787494,-0.00826217625441461,1.3439438897183278,18,0.06654990707030635,0.3333333333333333,0.1720494031521718,0.046076016487680276,0.7173182192413602
