strategy_name,start_date,end_date,initial_capital,final_equity,total_return,annual_return,max_drawdown,profit_factor,win_rate,trade_count,average_R,median_R,largest_win_R,largest_loss_R,average_holding_days,max_consecutive_losses,sharpe,sortino,calmar,schedule_name,cost_scenario_name,fee_rate,slippage_rate,score
v8_d_strong_1_5_weak_0_5__base_cost,2019-12-16T04:00:00+00:00,2026-06-02T12:00:00+00:00,100000.0,105319.60115922615,0.053196011592261394,0.008053730388436486,-0.010831085592504563,1.955081719427146,0.28846153846153844,52,0.13473409978587084,-0.17250588835618455,4.597335348606923,-0.8480075806894257,2.314102564102564,9,0.1828853580835222,0.06447005720593416,0.743575546481685,v8_d_strong_1_5_weak_0_5,base_cost,0.0004,0.0002,5.426084027263813
v8_c_strong_1_25_weak_0_5__base_cost,2019-12-16T04:00:00+00:00,2026-06-02T12:00:00+00:00,100000.0,104424.70821021903,0.044247082102190305,0.006723310628342416,-0.009299726322286372,1.9135519994584176,0.28846153846153844,52,0.13473409978587084,-0.17250588835618455,4.597335348606923,-0.8480075806894257,2.314102564102564,9,0.18135193160480317,0.06497570486238409,0.7229579016997851,v8_c_strong_1_25_weak_0_5,base_cost,0.0004,0.0002,5.320804524882548
v8_b_strong_1_0_weak_0_5__base_cost,2019-12-16T04:00:00+00:00,2026-06-02T12:00:00+00:00,100000.0,103531.68577337387,0.03531685773373883,0.005386030174236334,-0.007766759822530722,1.8563763262753783,0.28846153846153844,52,0.13473409978587084,-0.17250588835618455,4.597335348606923,-0.8480075806894257,2.314102564102564,9,0.17865705502006154,0.0644895742948195,0.6934719622218662,v8_b_strong_1_0_weak_0_5,base_cost,0.0004,0.0002,5.176364897290635
v8_f_strong_1_5_weak_0_75__base_cost,2019-12-16T04:00:00+00:00,2026-06-02T12:00:00+00:00,100000.0,105305.53488217738,0.05305534882177376,0.008032892371890865,-0.011632638360077774,1.8496125081427572,0.28846153846153844,52,0.13473409978587084,-0.17250588835618455,4.597335348606923,-0.8480075806894257,2.314102564102564,9,0.17865705502006066,0.06448957429481968,0.6905477608122907,v8_f_strong_1_5_weak_0_75,base_cost,0.0004,0.0002,5.157434978315036
v8_d_strong_1_5_weak_0_5__stress_cost_1_5x,2019-12-16T04:00:00+00:00,2026-06-02T12:00:00+00:00,100000.0,104982.50084470956,0.0498250084470957,0.007553695762936519,-0.011208816515353659,1.8647216987820927,0.28846153846153844,52,0.1234529025973349,-0.18243424999127392,4.573610838937407,-0.8569698164085557,2.314102564102564,9,0.1726524738154402,0.05996678069242948,0.6739066298917095,v8_d_strong_1_5_weak_0_5,stress_cost_1_5x,0.0006000000000000001,0.00030000000000000003,5.148792524355942
v8_c_strong_1_25_weak_0_5__stress_cost_1_5x,2019-12-16T04:00:00+00:00,2026-06-02T12:00:00+00:00,100000.0,104135.68655794846,0.04135686557948448,0.006291568908393108,-0.009621558616597303,1.8253046638337755,0.28846153846153844,52,0.1234529025973349,-0.18243424999127392,4.573610838937407,-0.8569698164085557,2.314102564102564,9,0.17077753776170523,0.06043803314881264,0.6539032976985742,v8_c_strong_1_25_weak_0_5,stress_cost_1_5x,0.0006000000000000001,0.00030000000000000003,5.049676469541341
v8_e_strong_1_25_weak_0_75__base_cost,2019-12-16T04:00:00+00:00,2026-06-02T12:00:00+00:00,100000.0,104410.76145329766,0.044107614532976624,0.006702500113613397,-0.010776400828310662,1.7997235036827326,0.28846153846153844,52,0.13473409978587084,-0.17250588835618455,4.597335348606923,-0.8480075806894257,2.314102564102564,9,0.1755459696385324,0.06260950373448586,0.6219609144460617,v8_e_strong_1_25_weak_0_75,base_cost,0.0004,0.0002,5.027206754289358
v8_b_strong_1_0_weak_0_5__stress_cost_1_5x,2019-12-16T04:00:00+00:00,2026-06-02T12:00:00+00:00,100000.0,103290.04171717894,0.03290041717178949,0.005022498138670395,-0.008032566070566016,1.7710361130476855,0.28846153846153844,52,0.1234529025973349,-0.18243424999127392,4.573610838937407,-0.8569698164085557,2.314102564102564,9,0.16760437034699457,0.05996404485356097,0.6252669563558888,v8_b_strong_1_0_weak_0_5,stress_cost_1_5x,0.0006000000000000001,0.00030000000000000003,4.913386481694521
v8_f_strong_1_5_weak_0_75__stress_cost_1_5x,2019-12-16T04:00:00+00:00,2026-06-02T12:00:00+00:00,100000.0,104937.44436781402,0.049374443678140256,0.007486758874037269,-0.012030087640854115,1.7646705576514852,0.28846153846153844,52,0.1234529025973349,-0.18243424999127392,4.573610838937407,-0.8569698164085557,2.314102564102564,9,0.16760437034699455,0.05996404485356256,0.6223361871955343,v8_f_strong_1_5_weak_0_75,stress_cost_1_5x,0.0006000000000000001,0.00030000000000000003,4.893201549665227
v8_d_strong_1_5_weak_0_5__stress_cost_2_0x,2019-12-16T04:00:00+00:00,2026-06-02T12:00:00+00:00,100000.0,104647.8608641719,0.046478608641719044,0.007055966543602965,-0.011734587903507565,1.7798601671196779,0.25,52,0.11221999178058456,-0.19232899782681634,4.549998670047146,-0.8659018176685399,2.314102564102564,9,0.1623382595729111,0.05448362428417038,0.6012964921839206,v8_d_strong_1_5_weak_0_5,stress_cost_2_0x,0.0008,0.0004,4.884570589849311
