strategy_name,entry_time,entry_price,exit_time,exit_price,stop_loss_price,position_size_btc,notional_value,notional_to_equity,risk_amount,pnl_usdt,R_multiple,exit_reason,exit_rule_name,holding_bars,holding_days,entry_signal_bar_time,entry_bar_index,exit_bar_index,signal_bar_index,equity_before,equity_after,entry_fee,exit_fee,signal_time,is_strong_regime,risk_schedule_name,risk_multiplier,cost_scenario_name
v5_a_baseline,2021-05-21 16:00:00+00:00,36813.2688,2021-05-24 12:00:00+00:00,37600.034,45355.07055967795,0.029267829789745157,1077.4444852425358,0.021548889704850718,250.0,-24.76924266244939,-0.09907697064979756,close_above_ema21,ema21_reclaim,18,3.0,2021-05-21 12:00:00+00:00,3135,3152,3134,100000.0,99975.23075733754,0.8619555881940287,0.8803771161605046,2021-05-21 12:00:00+00:00,False,v8_d_strong_1_5_weak_0_5,0.5,stress_cost_2_0x
v5_a_baseline,2021-12-16 16:00:00+00:00,48573.66276,2021-12-19 04:00:00+00:00,47731.184839999994,50624.55914755388,0.3656031748997032,17758.685321563476,0.1184205673547802,749.8142306800316,279.84511590226623,0.3732192647883801,close_above_ema21,ema21_reclaim,16,2.6666666666666665,2021-12-16 12:00:00+00:00,4389,4404,4388,99975.23075733754,100255.07587323981,14.206948257250781,13.960538175382863,2021-12-16 12:00:00+00:00,True,v8_d_strong_1_5_weak_0_5,1.5,stress_cost_2_0x
v5_a_baseline,2021-12-31 20:00:00+00:00,45697.61364,2022-01-02 00:00:00+00:00,47742.28928,49557.17122790293,0.1948184609049575,8902.738756374192,0.059200585299246156,751.9130690492985,-412.9036156938442,-0.5491374371453737,close_above_ema21,ema21_reclaim,8,1.3333333333333333,2021-12-31 16:00:00+00:00,4480,4487,4479,100255.07587323981,99842.17225754597,7.122191005099355,7.44086345408708,2021-12-31 16:00:00+00:00,True,v8_d_strong_1_5_weak_0_5,1.5,stress_cost_2_0x
v5_a_baseline,2022-01-03 16:00:00+00:00,46678.621080000004,2022-01-09 20:00:00+00:00,42698.97276,48792.70291031642,0.3542040242687864,16533.755433853807,0.110399276912128,748.8162919315948,1384.2811273844463,1.8486258142349579,close_above_ema21,ema21_reclaim,38,6.333333333333333,2022-01-03 12:00:00+00:00,4497,4534,4496,99842.17225754597,101226.45338493041,13.227004347083046,12.099318386988232,2022-01-03 12:00:00+00:00,True,v8_d_strong_1_5_weak_0_5,1.5,stress_cost_2_0x
v5_a_baseline,2022-01-11 12:00:00+00:00,41803.272000000004,2022-01-11 20:00:00+00:00,42980.98552,43697.848285488115,0.13357400037187056,5583.830269673407,0.11032353861969192,253.06613346232604,-166.3718841148409,-0.6574245310449993,close_above_ema21,ema21_reclaim,3,0.5,2022-01-11 08:00:00+00:00,4544,4546,4543,101226.45338493041,101060.08150081558,4.467064215738725,4.592913740665475,2022-01-11 08:00:00+00:00,False,v8_d_strong_1_5_weak_0_5,0.5,stress_cost_2_0x
v5_a_baseline,2022-01-26 20:00:00+00:00,37559.270280000004,2022-01-28 00:00:00+00:00,37175.364199999996,40035.38062126972,0.3061053453972689,11497.09340192878,0.07584328867335546,757.9506112561169,99.21436633800275,0.13089819424194318,close_above_ema21,ema21_reclaim,8,1.3333333333333333,2022-01-26 16:00:00+00:00,4636,4643,4635,101060.08150081558,101159.29586715357,9.197674721543024,9.103662158968213,2022-01-26 16:00:00+00:00,True,v8_d_strong_1_5_weak_0_5,1.5,stress_cost_2_0x
v5_a_baseline,2022-02-23 20:00:00+00:00,37603.05276,2022-02-25 00:00:00+00:00,38349.03348,40254.86242481025,0.28610451536986153,10758.403186327134,0.07090073857674598,758.6947190036518,-230.81264023088033,-0.3042233383856852,close_above_ema21,ema21_reclaim,8,1.3333333333333333,2022-02-23 16:00:00+00:00,4804,4811,4803,101159.29586715357,100928.48322692269,8.606722549061708,8.777465310958394,2022-02-23 16:00:00+00:00,True,v8_d_strong_1_5_weak_0_5,1.5,stress_cost_2_0x
v5_a_baseline,2022-03-07 20:00:00+00:00,37290.47784,2022-03-08 12:00:00+00:00,39000.49396,40640.66902596622,0.22594639594683488,8425.649071083311,0.05565425339934015,756.9636242019202,-400.16211542218366,-0.5286411428872576,close_above_ema21,ema21_reclaim,5,0.8333333333333333,2022-03-07 16:00:00+00:00,4876,4880,4875,100928.48322692269,100528.32111150051,6.740519256866649,7.049616840326643,2022-03-07 16:00:00+00:00,True,v8_d_strong_1_5_weak_0_5,1.5,stress_cost_2_0x
v5_a_baseline,2022-04-26 16:00:00+00:00,38534.77992,2022-04-28 04:00:00+00:00,39358.237,41585.07511354703,0.08239228888745802,3174.9687193832565,0.06316565688711254,251.32080277875127,-72.98074078369329,-0.2903887779156166,close_above_ema21,ema21_reclaim,10,1.6666666666666665,2022-04-26 12:00:00+00:00,5175,5184,5174,100528.32111150051,100455.34037071682,2.5399749755066052,2.5942521864040313,2022-04-26 12:00:00+00:00,False,v8_d_strong_1_5_weak_0_5,0.5,stress_cost_2_0x
v5_a_baseline,2022-04-29 12:00:00+00:00,38736.4992,2022-05-02 04:00:00+00:00,38692.37076,41193.18976923885,0.30667885578027987,11879.665251589726,0.07883878353471592,753.4150527803761,-5.463378308385449,-0.007251485470357398,close_above_ema21,ema21_reclaim,17,2.833333333333333,2022-04-29 08:00:00+00:00,5192,5208,5191,100455.34037071682,100449.87699240843,9.503732201271783,9.492905593682528,2022-04-29 08:00:00+00:00,True,v8_d_strong_1_5_weak_0_5,1.5,stress_cost_2_0x
