schedule_name,test_case_count,positive_test_cases,pf_gt1_test_cases,median_test_return_all,median_test_profit_factor_all,median_stress_test_return,median_stress_test_profit_factor,worst_test_drawdown
v8_d_strong_1_5_weak_0_5,15,12,12,0.009398611670225598,1.5636781260106574,0.008974786714094463,1.5148644956789585,-0.01158489605168811
v8_c_strong_1_25_weak_0_5,15,12,12,0.008045004035297731,1.5412811489340625,0.0076763663622783085,1.4945913126715658,-0.009942005167919543
v8_b_strong_1_0_weak_0_5,15,12,12,0.006680981363229366,1.5121913978317634,0.006367467124179349,1.4681757990442563,-0.008297248087990927
v8_f_strong_1_5_weak_0_75,15,12,12,0.009945875339478993,1.5083082413070155,0.00947462275650357,1.4644512942143773,-0.01242581342494864
v8_e_strong_1_25_weak_0_75,15,12,12,0.008591533821750152,1.48447244401059,0.008175556623087554,1.4444442846399261,-0.011412130322460468
v8_a_flat_1_0,15,12,12,0.007760965021975208,1.4174206762919515,0.007244347672181961,1.3913997672167917,-0.013383188893543285
