编号,币种,策略,方向,本波第几次,开仓时间,开仓价,平仓时间,平仓价,成交数量,名义仓位,风险金额,手续费,滑点成本,盈亏,累计利润,收益率,R倍数,平仓原因,资金占用前权益,平仓后权益,费率口径
1,BTC,BTC 动态委托做多 最佳参数,多头,1,2019-12-24 23:00:00,7351.6,2019-12-24 23:00:00,7205.8,0.69,5072.6,99.08,1.9,1.52,-102.5,-102.5,-1.03,-1.0345,止损,10000.0,9897.5,开仓 Maker / 平仓 Taker
2,BTC,BTC 均线斜率做空 最佳参数,空头,0,2019-12-25 01:00:00,7228.4,2019-12-27 00:00:00,7336.2,0.58,4192.47,99.76,3.04,2.61,-65.57,-168.07,-0.66,-0.6572,斜率转正平仓,9897.5,9831.93,双边 Taker
3,BTC,BTC 动态委托做多 最佳参数,多头,1,2019-12-27 04:00:00,7250.1,2019-12-27 19:00:00,7140.7,0.93,6742.59,99.7,2.53,2.05,-104.28,-272.35,-1.06,-1.0459,止损,9831.93,9727.66,开仓 Maker / 平仓 Taker
4,BTC,BTC 动态委托做多 最佳参数,多头,1,2019-12-30 08:00:00,7330.6,2019-12-31 00:00:00,7239.4,1.12,8210.27,99.68,3.09,2.46,-105.24,-377.59,-1.08,-1.0557,止损,9727.66,9622.42,开仓 Maker / 平仓 Taker
5,BTC,BTC 均线斜率做空 最佳参数,空头,0,2020-01-01 01:00:00,7166.1,2020-01-01 11:00:00,7244.4,1.35,9674.24,99.77,7.0,5.94,-112.71,-490.3,-1.17,-1.1297,止损,9622.42,9509.71,双边 Taker
6,BTC,BTC 均线斜率做空 最佳参数,空头,0,2020-01-02 15:00:00,7110.5,2020-01-02 18:00:00,7167.7,1.89,13438.84,99.79,9.71,8.32,-117.82,-608.12,-1.24,-1.1807,止损,9509.71,9391.89,双边 Taker
7,BTC,BTC 均线斜率做空 最佳参数,空头,0,2020-01-03 00:00:00,7054.5,2020-01-03 12:00:00,7129.4,1.41,9946.84,99.41,7.2,6.2,-112.81,-720.93,-1.2,-1.1348,止损,9391.89,9279.08,双边 Taker
8,ETH,ETH 均线斜率做空 最佳参数,空头,0,2020-01-03 02:00:00,127.47,2020-01-03 12:00:00,129.24,59.17,7542.4,100.0,5.47,4.73,-110.2,-831.13,-1.17,-1.102,止损,9391.89,9168.88,双边 Taker
9,BTC,BTC 动态委托做多 最佳参数,多头,1,2020-01-06 06:00:00,7368.8,2020-01-07 23:00:00,7791.2,1.42,10463.7,99.54,4.14,3.41,595.66,-235.47,6.5,5.984,6R,9168.88,9764.55,开仓 Maker / 平仓 Taker
10,ETH,ETH 动态委托做多 最佳参数,多头,1,2020-01-06 06:00:00,134.58,2020-01-07 23:00:00,139.44,62.11,8358.76,100.0,3.26,3.11,298.59,63.12,3.26,2.986,3R,9168.88,10063.14,开仓 Maker / 平仓 Taker
11,ETH,ETH 动态委托做多 最佳参数,多头,2,2020-01-08 21:00:00,142.1,2020-01-09 00:00:00,139.86,45.66,6488.29,100.0,2.44,2.28,-104.72,-41.6,-1.04,-1.0472,止损,10063.14,9958.43,开仓 Maker / 平仓 Taker
12,BTC,BTC 动态委托做多 最佳参数,多头,1,2020-01-09 05:00:00,8012.0,2020-01-10 05:00:00,7767.2,0.41,3284.92,99.38,1.22,0.98,-101.59,-143.19,-1.02,-1.0222,止损,9958.43,9856.84,开仓 Maker / 平仓 Taker
13,BTC,BTC 均线斜率做空 最佳参数,空头,0,2020-01-09 17:00:00,7870.8,2020-01-10 20:00:00,7897.7,0.58,4565.06,98.66,3.29,2.78,-18.89,-162.08,-0.19,-0.1915,斜率转正平仓,9958.43,9837.94,双边 Taker
14,ETH,ETH 均线斜率做空 最佳参数,空头,0,2020-01-09 19:00:00,138.1,2020-01-10 23:00:00,140.77,38.91,5373.47,100.0,3.91,3.89,-107.8,-269.88,-1.08,-1.078,止损,9958.43,9730.15,双边 Taker
16,ETH,ETH 动态委托做多 最佳参数,多头,1,2020-01-12 08:00:00,142.27,2020-01-13 14:00:00,142.3,38.75,5512.96,99.97,2.1,1.94,-0.93,-270.81,-0.01,-0.0093,保本,9730.15,9729.21,开仓 Maker / 平仓 Taker
17,ETH,ETH 动态委托做多 最佳参数,多头,1,2020-01-14 07:00:00,143.52,2020-01-14 23:00:00,155.86,81.3,11668.18,100.0,4.71,4.07,998.53,727.72,10.26,9.9854,10R,9729.21,10727.74,开仓 Maker / 平仓 Taker
15,BTC,BTC 动态委托做多 最佳参数,多头,1,2020-01-12 06:00:00,8034.6,2020-01-19 19:00:00,8678.4,0.62,4981.45,99.51,2.0,1.67,397.15,1124.87,4.08,3.9911,4R,9730.15,11124.89,开仓 Maker / 平仓 Taker
18,ETH,ETH 动态委托做多 最佳参数,多头,2,2020-01-16 09:00:00,159.33,2020-01-19 19:00:00,163.93,21.92,3492.51,99.96,1.36,1.1,99.48,1224.35,0.93,0.9952,1R,10727.74,11224.37,开仓 Maker / 平仓 Taker
19,BTC,BTC 均线斜率做空 最佳参数,空头,0,2020-01-19 19:00:00,8688.1,2020-01-22 04:00:00,8720.7,0.51,4430.93,98.38,3.2,2.75,-19.82,1204.53,-0.18,-0.2015,斜率转正平仓,11224.37,11204.55,双边 Taker
20,ETH,ETH 均线斜率做空 最佳参数,空头,0,2020-01-20 02:00:00,164.34,2020-01-22 05:00:00,169.4,20.2,3319.67,99.99,2.43,2.22,-104.64,1099.89,-0.93,-1.0465,止损,11224.37,11099.91,双边 Taker
21,ETH,ETH 均线斜率做空 最佳参数,空头,0,2020-01-22 06:00:00,169.23,2020-01-22 08:00:00,169.8,32.15,5440.74,99.99,3.92,3.86,-22.25,1077.64,-0.2,-0.2225,斜率转正平仓,11099.91,11077.66,双边 Taker
22,BTC,BTC 动态委托做多 最佳参数,多头,1,2020-01-22 16:00:00,8701.7,2020-01-23 00:00:00,8603.2,1.04,9049.77,99.74,3.41,2.7,-105.85,971.79,-0.96,-1.0613,止损,11077.66,10971.81,开仓 Maker / 平仓 Taker
23,ETH,ETH 动态委托做多 最佳参数,多头,1,2020-01-22 16:00:00,168.06,2020-01-23 09:00:00,166.01,50.0,8403.0,100.0,3.16,2.5,-105.66,866.13,-0.95,-1.0566,止损,11077.66,10866.14,开仓 Maker / 平仓 Taker
24,BTC,BTC 均线斜率做空 最佳参数,空头,0,2020-01-23 14:00:00,8536.1,2020-01-24 23:00:00,8501.4,1.1,9389.71,99.44,6.75,5.72,31.42,897.55,0.29,0.316,斜率转正平仓,10866.14,10897.57,双边 Taker
25,ETH,ETH 均线斜率做空 最佳参数,空头,0,2020-01-24 00:00:00,162.27,2020-01-26 15:00:00,161.33,35.97,5836.85,100.0,4.19,3.6,29.62,927.17,0.27,0.2962,斜率转正平仓,10866.14,10927.19,双边 Taker
26,BTC,BTC 均线斜率做空 最佳参数,空头,0,2020-01-25 08:00:00,8315.5,2020-01-26 15:00:00,8387.9,0.79,6569.24,99.86,4.75,4.03,-61.95,865.22,-0.57,-0.6204,斜率转正平仓,10897.57,10865.24,双边 Taker
27,ETH,ETH 动态委托做多 最佳参数,多头,1,2020-01-30 07:00:00,173.6,2020-01-30 08:00:00,171.22,43.1,7482.16,99.99,2.81,2.59,-105.39,759.83,-0.97,-1.054,止损,10865.24,10759.85,开仓 Maker / 平仓 Taker
28,ETH,ETH 动态委托做多 最佳参数,多头,2,2020-01-30 10:00:00,173.6,2020-01-31 20:00:00,176.38,36.49,6334.66,99.98,2.44,2.19,99.01,858.84,0.92,0.9902,1R,10759.85,10858.86,开仓 Maker / 平仓 Taker
29,BTC,BTC 动态委托做多 最佳参数,多头,1,2020-01-31 00:00:00,9240.4,2020-01-31 20:00:00,9242.8,0.78,7207.51,99.37,2.74,2.18,-0.87,857.97,-0.01,-0.0087,保本,10759.85,10857.99,开仓 Maker / 平仓 Taker
31,ETH,ETH 动态委托做多 最佳参数,多头,1,2020-02-01 19:00:00,180.05,2020-02-02 10:00:00,180.1,38.91,7005.75,100.0,2.66,2.33,-0.72,857.25,-0.01,-0.0072,保本,10857.99,10857.27,开仓 Maker / 平仓 Taker
30,BTC,BTC 动态委托做多 最佳参数,多头,1,2020-02-01 00:00:00,9335.3,2020-02-02 12:00:00,9192.9,0.71,6628.06,99.12,2.49,1.99,-103.59,753.66,-0.95,-1.0452,止损,10857.99,10753.68,开仓 Maker / 平仓 Taker
32,BTC,BTC 动态委托做多 最佳参数,多头,1,2020-02-02 22:00:00,9363.9,2020-02-03 10:00:00,9366.3,0.96,8989.34,99.84,3.42,2.78,-1.11,752.55,-0.01,-0.0111,保本,10753.68,10752.56,开仓 Maker / 平仓 Taker
33,ETH,ETH 动态委托做多 最佳参数,多头,1,2020-02-03 23:00:00,187.55,2020-02-04 12:00:00,187.6,34.36,6444.22,99.99,2.45,2.06,-0.73,751.82,-0.01,-0.0073,保本,10752.56,10751.83,开仓 Maker / 平仓 Taker
34,ETH,ETH 动态委托做多 最佳参数,多头,2,2020-02-04 14:00:00,188.23,2020-02-04 18:00:00,185.28,34.6,6512.76,99.99,2.45,2.08,-104.52,647.3,-0.97,-1.0452,止损,10751.83,10647.32,开仓 Maker / 平仓 Taker
35,BTC,BTC 均线斜率做空 最佳参数,空头,0,2020-02-04 17:00:00,9187.4,2020-02-05 13:00:00,9281.2,0.87,7993.04,99.27,5.78,4.87,-87.39,559.91,-0.81,-0.8804,斜率转正平仓,10751.83,10559.93,双边 Taker
36,ETH,ETH 动态委托做多 最佳参数,多头,1,2020-02-05 03:00:00,187.94,2020-02-06 21:00:00,207.02,36.76,6908.67,99.99,2.82,2.57,698.56,1258.47,6.56,6.9865,7R,10647.32,11258.49,开仓 Maker / 平仓 Taker
37,BTC,BTC 动态委托做多 最佳参数,多头,1,2020-02-08 10:00:00,9713.8,2020-02-10 13:00:00,9900.5,1.08,10490.9,99.47,4.04,3.24,197.59,1456.06,1.76,1.9865,2R,11258.49,11456.08,开仓 Maker / 平仓 Taker
40,ETH,ETH 均线斜率做空 最佳参数,空头,0,2020-02-11 11:00:00,219.33,2020-02-11 20:00:00,224.38,20.36,4465.56,99.97,3.25,2.85,-106.07,1349.99,-0.93,-1.061,止损,11456.08,11350.01,双边 Taker
39,BTC,BTC 均线斜率做空 最佳参数,空头,0,2020-02-10 19:00:00,9827.0,2020-02-11 23:00:00,9992.8,0.62,6092.74,99.08,4.42,3.72,-107.22,1242.77,-0.94,-1.0822,止损,11456.08,11242.79,双边 Taker
38,ETH,ETH 动态委托做多 最佳参数,多头,2,2020-02-08 11:00:00,214.09,2020-02-13 05:00:00,267.88,22.32,4778.49,99.99,2.15,2.01,1198.44,2441.21,10.64,11.9852,12R,11258.49,12441.23,开仓 Maker / 平仓 Taker
41,BTC,BTC 动态委托做多 最佳参数,多头,1,2020-02-13 16:00:00,10242.9,2020-02-13 19:00:00,10097.1,0.7,7170.03,99.89,2.7,2.17,-104.76,2336.45,-0.84,-1.0487,止损,12441.23,12336.47,开仓 Maker / 平仓 Taker
42,BTC,BTC 动态委托做多 最佳参数,多头,1,2020-02-13 23:00:00,10234.5,2020-02-15 23:00:00,9957.8,0.36,3684.42,98.53,1.37,1.08,-100.98,2235.47,-0.82,-1.0249,止损,12336.47,12235.49,开仓 Maker / 平仓 Taker
44,ETH,ETH 动态委托做多 最佳参数,多头,3,2020-02-15 23:00:00,273.65,2020-02-15 23:00:00,268.62,20.24,5538.68,99.99,2.08,1.82,-103.88,2131.59,-0.85,-1.039,止损,12235.49,12131.61,开仓 Maker / 平仓 Taker
45,ETH,ETH 动态委托做多 最佳参数,多头,1,2020-02-16 13:00:00,271.67,2020-02-16 20:00:00,264.27,13.66,3711.01,99.99,1.38,1.09,-102.47,2029.12,-0.84,-1.0247,止损,12131.61,12029.14,开仓 Maker / 平仓 Taker
46,ETH,ETH 均线斜率做空 最佳参数,空头,0,2020-02-16 23:00:00,258.75,2020-02-18 07:00:00,268.88,10.04,2597.85,100.0,1.91,1.71,-103.61,1925.51,-0.86,-1.0361,止损,12029.14,11925.53,双边 Taker
47,ETH,ETH 均线斜率做空 最佳参数,空头,0,2020-02-18 08:00:00,265.56,2020-02-18 13:00:00,268.81,8.32,2209.46,99.92,1.6,1.41,-28.64,1896.87,-0.24,-0.2866,斜率转正平仓,11925.53,11896.89,双边 Taker
43,BTC,BTC 均线斜率做空 最佳参数,空头,0,2020-02-15 23:00:00,9979.8,2020-02-18 23:00:00,9830.9,0.6,5987.88,98.76,4.28,3.6,85.06,1981.93,0.7,0.8613,斜率转正平仓,12235.49,11981.95,双边 Taker
48,ETH,ETH 动态委托做多 最佳参数,多头,1,2020-02-18 21:00:00,262.45,2020-02-20 05:00:00,262.52,14.94,3921.0,99.95,1.49,1.2,-0.44,1981.49,-0.0,-0.0044,保本,11896.89,11981.5,开仓 Maker / 平仓 Taker
49,BTC,BTC 动态委托做多 最佳参数,多头,1,2020-02-20 05:00:00,10008.5,2020-02-20 05:00:00,9841.2,0.6,6005.1,98.58,2.25,1.8,-102.63,1878.86,-0.86,-1.0411,止损,11981.5,11878.87,开仓 Maker / 平仓 Taker
51,ETH,ETH 均线斜率做空 最佳参数,空头,0,2020-02-20 20:00:00,250.62,2020-02-21 06:00:00,261.35,9.46,2370.87,99.99,1.74,1.51,-103.25,1775.61,-0.87,-1.0326,止损,11878.87,11775.62,双边 Taker
50,BTC,BTC 均线斜率做空 最佳参数,空头,0,2020-02-20 05:00:00,9618.8,2020-02-21 20:00:00,9750.1,0.35,3366.58,97.97,2.44,2.06,-48.4,1727.21,-0.41,-0.494,斜率转正平仓,11878.87,11727.23,双边 Taker
52,ETH,ETH 均线斜率做空 最佳参数,空头,0,2020-02-21 07:00:00,256.88,2020-02-22 00:00:00,267.8,9.3,2388.98,99.97,1.76,1.58,-103.31,1623.9,-0.88,-1.0334,止损,11775.62,11623.91,双边 Taker
53,ETH,ETH 均线斜率做空 最佳参数,空头,0,2020-02-22 01:00:00,265.44,2020-02-22 20:00:00,262.79,13.36,3546.28,99.93,2.54,2.14,32.86,1656.76,0.28,0.3289,斜率转正平仓,11623.91,11656.78,双边 Taker
54,BTC,BTC 动态委托做多 最佳参数,多头,1,2020-02-24 10:00:00,9791.8,2020-02-24 10:00:00,9679.7,0.91,8910.54,99.28,3.36,2.73,-105.37,1551.39,-0.9,-1.0613,止损,11656.78,11551.41,开仓 Maker / 平仓 Taker
55,ETH,ETH 动态委托做多 最佳参数,多头,1,2020-02-24 10:00:00,267.39,2020-02-24 15:00:00,263.39,25.51,6821.12,100.0,2.56,2.04,-104.6,1446.79,-0.91,-1.046,止损,11551.41,11446.8,开仓 Maker / 平仓 Taker
56,ETH,ETH 动态委托做多 最佳参数,多头,2,2020-02-24 17:00:00,267.5,2020-02-24 23:00:00,267.56,24.09,6444.07,99.97,2.45,2.17,-1.0,1445.79,-0.01,-0.01,保本,11446.8,11445.8,开仓 Maker / 平仓 Taker
57,BTC,BTC 动态委托做多 最佳参数,多头,1,2020-02-24 20:00:00,9780.5,2020-02-25 00:00:00,9647.8,0.77,7530.98,99.95,2.83,2.23,-105.01,1340.78,-0.92,-1.0507,止损,11446.8,11340.79,开仓 Maker / 平仓 Taker
59,ETH,ETH 均线斜率做空 最佳参数,空头,0,2020-02-25 22:00:00,253.67,2020-02-29 12:00:00,231.69,12.59,3193.71,99.96,2.2,1.89,274.53,1615.31,2.42,2.7463,斜率转正平仓,11340.79,11615.32,双边 Taker
60,ETH,ETH 均线斜率做空 最佳参数,空头,0,2020-03-01 07:00:00,217.16,2020-03-01 09:00:00,223.93,15.08,3274.77,99.98,2.39,2.11,-104.49,1510.82,-0.9,-1.0451,止损,11615.32,11510.83,双边 Taker
61,ETH,ETH 均线斜率做空 最佳参数,空头,0,2020-03-01 12:00:00,222.44,2020-03-02 09:00:00,219.33,13.88,3087.47,99.94,2.21,1.94,40.96,1551.78,0.36,0.4099,斜率转正平仓,11510.83,11551.79,双边 Taker
58,BTC,BTC 均线斜率做空 最佳参数,空头,0,2020-02-25 01:00:00,9605.5,2020-03-02 10:00:00,8626.8,0.68,6531.74,99.08,4.46,3.74,661.05,2212.83,5.83,6.6722,斜率转正平仓,11340.79,12212.84,双边 Taker
62,BTC,BTC 动态委托做多 最佳参数,多头,1,2020-03-03 16:00:00,8744.7,2020-03-03 22:00:00,8746.9,0.93,8132.57,99.42,3.09,2.51,-1.04,2211.79,-0.01,-0.0105,保本,12212.84,12211.8,开仓 Maker / 平仓 Taker
63,ETH,ETH 动态委托做多 最佳参数,多头,1,2020-03-03 22:00:00,226.55,2020-03-03 23:00:00,222.34,24.15,5471.18,99.98,2.05,1.69,-103.72,2108.07,-0.85,-1.0374,止损,12211.8,12108.08,开仓 Maker / 平仓 Taker
65,ETH,ETH 动态委托做多 最佳参数,多头,1,2020-03-04 13:00:00,225.79,2020-03-04 19:00:00,221.95,26.52,5987.95,99.98,2.25,1.86,-104.08,2003.99,-0.86,-1.041,止损,12108.08,12003.99,开仓 Maker / 平仓 Taker
66,ETH,ETH 动态委托做多 最佳参数,多头,1,2020-03-06 07:00:00,227.79,2020-03-08 01:00:00,240.0,32.89,7492.01,99.99,2.96,2.63,398.63,2402.62,3.32,3.9868,4R,12003.99,12402.62,开仓 Maker / 平仓 Taker
64,BTC,BTC 动态委托做多 最佳参数,多头,1,2020-03-04 07:00:00,8750.0,2020-03-08 08:00:00,8752.2,0.75,6562.5,99.3,2.49,2.02,-0.84,2401.78,-0.01,-0.0085,保本,12108.08,12401.77,开仓 Maker / 平仓 Taker
68,ETH,ETH 动态委托做多 最佳参数,多头,2,2020-03-08 03:00:00,238.17,2020-03-08 08:00:00,233.07,19.88,4734.82,100.0,1.77,1.39,-103.16,2298.62,-0.83,-1.0316,止损,12402.62,12298.62,开仓 Maker / 平仓 Taker
67,BTC,BTC 均线斜率做空 最佳参数,空头,0,2020-03-08 02:00:00,8873.5,2020-03-09 13:00:00,7873.2,0.9,7986.15,99.9,5.43,4.59,894.84,3193.46,7.21,8.9574,9R,12402.62,13193.46,双边 Taker
70,BTC,BTC 均线斜率做空 最佳参数,空头,0,2020-03-09 14:00:00,7876.0,2020-03-10 20:00:00,8133.5,0.39,3071.64,98.51,2.25,1.91,-102.67,3090.79,-0.78,-1.0422,止损,13193.46,13090.79,双边 Taker
71,BTC,BTC 均线斜率做空 最佳参数,空头,0,2020-03-10 23:00:00,7767.2,2020-03-11 03:00:00,7976.9,0.48,3728.26,98.35,2.72,2.3,-103.38,2987.41,-0.79,-1.0511,止损,13090.79,12987.41,双边 Taker
72,BTC,BTC 均线斜率做空 最佳参数,空头,0,2020-03-11 07:00:00,7894.3,2020-03-12 06:00:00,7950.5,0.49,3868.21,99.81,2.8,2.35,-30.33,2957.08,-0.23,-0.3039,斜率转正平仓,12987.41,12957.08,双边 Taker
69,ETH,ETH 均线斜率做空 最佳参数,空头,0,2020-03-08 22:00:00,220.23,2020-03-12 19:00:00,132.82,14.88,3277.02,99.99,1.89,1.64,1298.77,4255.85,10.56,12.9885,13R,12298.62,14255.85,双边 Taker
73,BTC,BTC 均线斜率做空 最佳参数,空头,0,2020-03-12 09:00:00,7716.5,2020-03-12 19:00:00,5811.6,0.47,3626.76,99.41,2.29,1.97,893.01,5148.86,6.89,8.9836,9R,12957.08,15148.86,双边 Taker
75,ETH,ETH 均线斜率做空 最佳参数,空头,0,2020-03-12 20:00:00,136.73,2020-03-15 20:00:00,124.78,5.49,750.65,99.92,0.52,0.49,65.09,5213.95,0.43,0.6514,斜率转正平仓,15148.86,15213.95,双边 Taker
74,BTC,BTC 均线斜率做空 最佳参数,空头,0,2020-03-12 20:00:00,6010.7,2020-03-16 05:00:00,5907.8,0.19,1142.03,99.96,0.82,0.7,18.74,5232.69,0.12,0.1874,斜率转正平仓,15148.86,15232.69,双边 Taker
76,ETH,ETH 均线斜率做空 最佳参数,空头,0,2020-03-16 04:00:00,120.45,2020-03-16 05:00:00,125.41,20.49,2468.02,99.99,1.81,1.64,-103.44,5129.25,-0.68,-1.0345,止损,15213.95,15129.24,双边 Taker
77,BTC,BTC 均线斜率做空 最佳参数,空头,0,2020-03-16 06:00:00,5376.8,2020-03-17 09:00:00,5182.7,0.24,1290.43,97.75,0.91,0.79,45.67,5174.92,0.3,0.4672,斜率转正平仓,15129.24,15174.91,双边 Taker
79,BTC,BTC 均线斜率做空 最佳参数,空头,0,2020-03-17 21:00:00,5082.8,2020-03-17 22:00:00,5230.0,0.28,1423.18,99.65,1.04,0.9,-42.26,5132.66,-0.28,-0.424,斜率转正平仓,15174.91,15132.66,双边 Taker
80,BTC,BTC 动态委托做多 最佳参数,多头,1,2020-03-18 13:00:00,5272.6,2020-03-18 18:00:00,5042.6,0.43,2267.22,98.21,0.83,0.69,-99.73,5032.93,-0.66,-1.0155,止损,15132.66,15032.92,开仓 Maker / 平仓 Taker
81,BTC,BTC 均线斜率做空 最佳参数,空头,0,2020-03-18 15:00:00,5144.8,2020-03-18 21:00:00,5327.8,0.38,1955.02,99.79,1.43,1.22,-70.97,4961.96,-0.47,-0.7112,斜率转正平仓,15132.66,14961.95,双边 Taker
78,ETH,ETH 均线斜率做空 最佳参数,空头,0,2020-03-16 06:00:00,123.9,2020-03-19 03:00:00,116.12,12.23,1515.3,99.92,1.06,0.98,94.09,5056.05,0.62,0.9417,斜率转正平仓,15129.24,15056.04,双边 Taker
82,BTC,BTC 动态委托做多 最佳参数,多头,1,2020-03-19 00:00:00,5252.0,2020-03-21 04:00:00,5828.0,0.34,1785.68,97.72,0.73,0.61,195.11,5251.16,1.3,1.9967,2R,14961.95,15251.15,开仓 Maker / 平仓 Taker
83,ETH,ETH 动态委托做多 最佳参数,多头,1,2020-03-21 02:00:00,131.84,2020-03-21 04:00:00,124.08,12.95,1707.33,99.97,0.62,0.52,-101.11,5150.05,-0.67,-1.0114,止损,15056.04,15150.04,开仓 Maker / 平仓 Taker
85,BTC,BTC 均线斜率做空 最佳参数,空头,0,2020-03-21 17:00:00,5977.2,2020-03-21 19:00:00,6117.2,0.26,1554.07,99.71,1.13,0.96,-37.53,5112.52,-0.25,-0.3764,斜率转正平仓,15150.04,15112.51,双边 Taker
86,BTC,BTC 动态委托做多 最佳参数,多头,1,2020-03-22 01:00:00,6090.2,2020-03-22 06:00:00,6091.8,0.3,1827.06,97.62,0.69,0.57,-0.21,5112.31,-0.0,-0.0022,保本,15112.51,15112.29,开仓 Maker / 平仓 Taker
84,ETH,ETH 动态委托做多 最佳参数,多头,1,2020-03-21 11:00:00,131.77,2020-03-23 04:00:00,122.76,11.14,1467.92,99.93,0.53,0.45,-100.9,5011.41,-0.67,-1.0098,止损,15150.04,15011.39,开仓 Maker / 平仓 Taker
88,BTC,BTC 均线斜率做空 最佳参数,空头,0,2020-03-22 20:00:00,6013.8,2020-03-23 20:00:00,6302.8,0.35,2104.83,99.82,1.55,1.33,-102.7,4908.71,-0.68,-1.0289,止损,15112.29,14908.69,双边 Taker
87,ETH,ETH 均线斜率做空 最佳参数,空头,0,2020-03-22 18:00:00,132.77,2020-03-23 21:00:00,131.61,16.89,2242.49,99.99,1.61,1.35,17.98,4926.69,0.12,0.1799,斜率转正平仓,15112.29,14926.67,双边 Taker
89,ETH,ETH 均线斜率做空 最佳参数,空头,0,2020-03-23 22:00:00,129.84,2020-03-24 02:00:00,129.92,12.82,1664.55,100.0,1.2,1.03,-2.22,4924.47,-0.01,-0.0222,斜率转正平仓,14926.67,14924.45,双边 Taker
92,ETH,ETH 均线斜率做空 最佳参数,空头,0,2020-03-27 06:00:00,136.04,2020-03-27 07:00:00,139.0,34.96,4755.96,99.99,3.46,3.5,-106.94,4817.53,-0.72,-1.0696,止损,14924.45,14817.51,双边 Taker
91,ETH,ETH 动态委托做多 最佳参数,多头,1,2020-03-25 19:00:00,135.41,2020-03-27 18:00:00,135.44,22.57,3056.2,99.99,1.16,1.13,-0.48,4817.05,-0.0,-0.0048,保本,14924.45,14817.02,开仓 Maker / 平仓 Taker
93,ETH,ETH 均线斜率做空 最佳参数,空头,0,2020-03-27 21:00:00,134.96,2020-03-28 00:00:00,136.45,35.33,4768.14,99.98,3.45,3.53,-56.09,4760.96,-0.38,-0.561,斜率转正平仓,14817.02,14760.93,双边 Taker
90,BTC,BTC 动态委托做多 最佳参数,多头,1,2020-03-25 19:00:00,6513.7,2020-03-28 07:00:00,6515.4,0.34,2214.66,99.65,0.84,0.68,-0.26,4760.7,-0.0,-0.0026,保本,14924.45,14760.66,开仓 Maker / 平仓 Taker
95,ETH,ETH 动态委托做多 最佳参数,多头,1,2020-03-28 07:00:00,136.19,2020-03-28 07:00:00,134.32,54.94,7482.28,99.99,2.81,2.75,-105.55,4655.15,-0.72,-1.0556,止损,14760.66,14655.11,开仓 Maker / 平仓 Taker
94,BTC,BTC 均线斜率做空 最佳参数,空头,0,2020-03-28 07:00:00,6358.0,2020-03-30 13:00:00,6202.9,0.59,3751.22,99.0,2.67,2.3,88.84,4743.99,0.6,0.8974,斜率转正平仓,14760.66,14743.95,双边 Taker
96,ETH,ETH 均线斜率做空 最佳参数,空头,0,2020-03-28 07:00:00,131.15,2020-03-30 20:00:00,132.15,27.32,3583.02,99.99,2.59,2.19,-29.91,4714.08,-0.2,-0.2991,斜率转正平仓,14655.11,14714.04,双边 Taker
98,BTC,BTC 动态委托做多 最佳参数,多头,1,2020-04-01 08:00:00,6365.3,2020-04-01 20:00:00,6242.5,0.82,5219.55,99.14,1.96,1.56,-102.65,4611.43,-0.7,-1.0354,止损,14714.04,14611.39,开仓 Maker / 平仓 Taker
97,ETH,ETH 动态委托做多 最佳参数,多头,1,2020-03-31 11:00:00,130.76,2020-04-01 21:00:00,130.8,40.81,5336.32,99.98,2.03,1.63,-0.4,4611.03,-0.0,-0.004,保本,14714.04,14611.0,开仓 Maker / 平仓 Taker
99,BTC,BTC 均线斜率做空 最佳参数,空头,0,2020-04-01 20:00:00,6220.1,2020-04-02 04:00:00,6349.7,0.79,4913.88,99.3,3.57,3.08,-105.96,4505.07,-0.73,-1.067,止损,14611.39,14505.04,双边 Taker
100,BTC,BTC 动态委托做多 最佳参数,多头,1,2020-04-03 23:00:00,6693.7,2020-04-06 01:00:00,6695.4,0.43,2878.29,97.87,1.09,0.9,-0.36,4504.71,-0.0,-0.0037,保本,14505.04,14504.67,开仓 Maker / 平仓 Taker
101,ETH,ETH 动态委托做多 最佳参数,多头,1,2020-04-04 00:00:00,139.24,2020-04-08 04:00:00,163.77,28.57,3978.09,100.0,1.71,1.43,699.11,5203.82,4.82,6.9915,7R,14505.04,15203.79,开仓 Maker / 平仓 Taker
103,ETH,ETH 动态委托做多 最佳参数,多头,2,2020-04-09 19:00:00,168.23,2020-04-09 20:00:00,165.32,34.96,5881.32,99.99,2.21,1.75,-103.94,5099.88,-0.68,-1.0395,止损,15203.79,15099.85,开仓 Maker / 平仓 Taker
102,BTC,BTC 动态委托做多 最佳参数,多头,1,2020-04-06 07:00:00,6767.8,2020-04-10 13:00:00,7011.4,0.82,5549.6,99.22,2.16,1.8,197.59,5297.47,1.36,1.9914,2R,14504.67,15297.44,开仓 Maker / 平仓 Taker
104,BTC,BTC 均线斜率做空 最佳参数,空头,0,2020-04-10 12:00:00,7141.4,2020-04-12 20:00:00,6911.9,0.8,5713.12,99.12,4.05,3.44,179.55,5477.02,1.19,1.8115,斜率转正平仓,15099.85,15476.99,双边 Taker
105,ETH,ETH 均线斜率做空 最佳参数,空头,0,2020-04-10 12:00:00,163.18,2020-04-13 00:00:00,163.72,20.61,3363.14,99.96,2.43,2.06,-13.55,5463.47,-0.09,-0.1356,斜率转正平仓,15099.85,15463.43,双边 Taker
