strategy_name,start_date,end_date,initial_capital,final_equity,total_return,annual_return,max_drawdown,profit_factor,win_rate,trade_count,average_R,median_R,largest_win_R,largest_loss_R,average_holding_days,max_consecutive_losses,sharpe,sortino,calmar,score
v2_e_daily_volume_4h_dual_bear_volume,2019-12-16T04:00:00+00:00,2026-06-02T12:00:00+00:00,100000.0,103502.07076293645,0.03502070762936449,0.005341515604515346,-0.012636734970622787,1.641186407428543,0.28846153846153844,52,0.13473409978587084,-0.17250588835618455,4.597335348606923,-0.8480075806894257,2.314102564102564,9,0.16030144403200663,0.04846330127958543,0.42269744652657654,4.608814132727226
v2_d_daily_core_4h_dual_bear_volume,2019-12-16T04:00:00+00:00,2026-06-02T12:00:00+00:00,100000.0,101437.14638469352,0.014371463846935217,0.002210836712599251,-0.023366557421447887,1.0987447895081726,0.24390243902439024,123,0.02521223688556232,-0.2040430785012135,4.993204772643877,-1.027147113379029,1.8048780487804879,12,0.049794227433386656,0.01930346341731441,0.09461542291933643,2.7251982704847872
v2_a_daily_core_4h_ema21_pullback,2019-12-16T04:00:00+00:00,2026-06-02T12:00:00+00:00,100000.0,94726.75325089914,-0.05273246749100857,-0.008349251201534513,-0.070352645720127,0.7903460180661713,0.24034334763948498,233,-0.04527542871620384,-0.2069224677667286,4.993204772643879,-1.0615294822858903,1.679542203147353,12,-0.15773388106173764,-0.07074971393036165,-0.11867714591358855,-1.6941465536324252
v2_f_daily_ema55_4h_ema55_pullback,2019-12-16T04:00:00+00:00,2026-06-02T12:00:00+00:00,100000.0,97210.0149521844,-0.02789985047815602,-0.004369779127540441,-0.04233024366329363,0.6321778001685708,0.25,72,-0.07803687174269634,-0.16887180594068818,1.9002340535368853,-1.0145311443861116,1.4583333333333333,10,-0.223574961330785,-0.03416748307478962,-0.10323066321797868,-2.0206426815494436
v2_b_daily_core_4h_ema55_pullback,2019-12-16T04:00:00+00:00,2026-06-02T12:00:00+00:00,100000.0,96149.56195202736,-0.038504380479726374,-0.006058538610002495,-0.04485535622651515,0.4800393912223008,0.23076923076923078,65,-0.1203317362516466,-0.2072259236522624,1.198939315749527,-1.0145311443861116,1.4384615384615385,10,-0.35382196165104035,-0.046733727692739556,-0.13506834232700035,-2.598828913189945
v2_c_daily_core_4h_dual_bear_rsi,2019-12-16T04:00:00+00:00,2026-06-02T12:00:00+00:00,100000.0,94095.29037355732,-0.059047096264426835,-0.00937523133055529,-0.06721347810834921,0.4489663474802132,0.2288135593220339,118,-0.10280349463796432,-0.14446774056312534,1.536593492569125,-1.0615294822858905,1.0141242937853108,13,-0.47724745424342874,-0.08501476509078525,-0.1394843950114033,-2.7670808291458617
