year,strategy_name,year_start_equity,year_end_equity,year_return,trade_count,win_rate,max_drawdown,profit_factor
2020,v2_a_daily_core_4h_ema21_pullback,100000.0,99143.86666767666,-0.008561333323233389,12,0.4166666666666667,-0.008617915260589748,0.3400846220880959
2021,v2_a_daily_core_4h_ema21_pullback,99143.86666767666,98292.19214725816,-0.008590289536247853,27,0.37037037037037035,-0.011017762728821046,0.6428925945414417
2022,v2_a_daily_core_4h_ema21_pullback,98292.19214725816,95689.79259363803,-0.026476157431927994,85,0.21176470588235294,-0.034060670105313995,0.7428522388150626
2023,v2_a_daily_core_4h_ema21_pullback,95689.79259363803,94435.02289589537,-0.013112889721385912,21,0.23809523809523808,-0.017868507985409288,0.50528620662924
2024,v2_a_daily_core_4h_ema21_pullback,94435.02289589537,94210.35804289495,-0.002379041653307823,16,0.25,-0.009968468239950456,0.822556117969887
2025,v2_a_daily_core_4h_ema21_pullback,94210.35804289495,93343.89079219475,-0.00919715484263084,51,0.1568627450980392,-0.028935690234111355,0.8475541835085626
2026,v2_a_daily_core_4h_ema21_pullback,93343.89079219475,94726.75325089914,0.014814707711112707,21,0.2857142857142857,-0.007318208472776311,1.742124059081192
2020,v2_b_daily_core_4h_ema55_pullback,100000.0,99270.12669946825,-0.00729873300531747,2,0.0,-0.005072655721930608,0.0
2021,v2_b_daily_core_4h_ema55_pullback,99270.12669946825,99622.58211248169,0.0035504680484639284,8,0.625,-0.003251477229213706,2.087540295256155
2022,v2_b_daily_core_4h_ema55_pullback,99622.58211248169,98310.0649855621,-0.013174895682162235,25,0.24,-0.018383515961679198,0.49491177048729096
2023,v2_b_daily_core_4h_ema55_pullback,98310.0649855621,97952.04912443575,-0.003641700991438901,4,0.25,-0.00507380520056655,0.41817378373450825
2024,v2_b_daily_core_4h_ema55_pullback,97952.04912443575,97471.41240628972,-0.004906857206585347,4,0.0,-0.004745219485776775,0.0
2025,v2_b_daily_core_4h_ema55_pullback,97471.41240628972,96007.18991848566,-0.015022071104302315,17,0.11764705882352941,-0.01798551621705269,0.3421175014376153
2026,v2_b_daily_core_4h_ema55_pullback,96007.18991848566,96149.56195202736,0.0014829309519690526,5,0.2,-0.002039790421217602,1.3302729010369578
2020,v2_c_daily_core_4h_dual_bear_rsi,100000.0,99775.08834342456,-0.0022491165657543277,2,0.0,-0.0010202153925059632,0.0
2021,v2_c_daily_core_4h_dual_bear_rsi,99775.08834342456,100222.91538625775,0.004488365285047591,13,0.5384615384615384,-0.002013319538542113,1.7500204894077316
2022,v2_c_daily_core_4h_dual_bear_rsi,100222.91538625775,96002.11690987308,-0.042114105941917335,49,0.14285714285714285,-0.041474192405218435,0.12910685859017626
2023,v2_c_daily_core_4h_dual_bear_rsi,96002.11690987308,95689.74068281385,-0.0032538472808103514,12,0.25,-0.008969894880791918,0.7325277031308741
2024,v2_c_daily_core_4h_dual_bear_rsi,95689.74068281385,96247.28386093961,0.005826572150235743,5,0.2,-0.0018401132913741236,4.1386760804524725
2025,v2_c_daily_core_4h_dual_bear_rsi,96247.28386093961,93486.58465698858,-0.028683398566756058,26,0.15384615384615385,-0.030424081163636818,0.1413496198343832
2026,v2_c_daily_core_4h_dual_bear_rsi,93486.58465698858,94095.29037355732,0.0065111557856365465,11,0.45454545454545453,-0.003566955176873665,2.2511888952674908
2020,v2_d_daily_core_4h_dual_bear_volume,100000.0,99674.46402847784,-0.0032553597152216174,2,0.0,-0.0010202153925060742,0.0
2021,v2_d_daily_core_4h_dual_bear_volume,99674.46402847784,99077.45226355159,-0.005989616003911347,11,0.36363636363636365,-0.00969680125466954,0.5555613799182293
2022,v2_d_daily_core_4h_dual_bear_volume,99077.45226355159,99599.85891788153,0.005272709808285203,49,0.2653061224489796,-0.01925778401308076,1.0867997546737131
2023,v2_d_daily_core_4h_dual_bear_volume,99599.85891788153,99423.91283645167,-0.0017665294242528162,12,0.25,-0.006576823605812465,0.7807111855807582
2024,v2_d_daily_core_4h_dual_bear_volume,99423.91283645167,99832.95630986999,0.004114135742084413,10,0.3,-0.004352657532713966,1.6231316448724022
2025,v2_d_daily_core_4h_dual_bear_volume,99832.95630986999,99803.86751125164,-0.00029137470925000297,28,0.14285714285714285,-0.023366557421447887,0.9929371150255184
2026,v2_d_daily_core_4h_dual_bear_volume,99803.86751125164,101437.14638469352,0.016364885591810818,11,0.2727272727272727,-0.008241310607959518,2.266629822683545
2021,v2_e_daily_volume_4h_dual_bear_volume,100000.0,100154.5922473154,0.0015459224731539933,2,0.5,0.0,4.291614012598731
2022,v2_e_daily_volume_4h_dual_bear_volume,100154.5922473154,100661.33516912966,0.0050596074572690775,18,0.3888888888888889,-0.007798338629792845,1.269739485444118
2023,v2_e_daily_volume_4h_dual_bear_volume,100661.33516912966,100418.76577753067,-0.002409757343188601,3,0.0,-0.001955208284157517,0.0
2024,v2_e_daily_volume_4h_dual_bear_volume,100418.76577753067,101264.8202350897,0.008425262459741845,7,0.42857142857142855,-0.0014371206661497604,4.640889504056737
