strategy_name,entry_time,entry_price,exit_time,exit_price,stop_loss_price,position_size_btc,notional_value,notional_to_equity,risk_amount,pnl_usdt,R_multiple,exit_reason,holding_bars,holding_days,entry_signal_bar_time,entry_bar_index,exit_bar_index,signal_bar_index,equity_before,equity_after,entry_fee,exit_fee
v2_a_daily_core_4h_ema21_pullback,2020-03-18 08:00:00+00:00,5144.87082,2020-03-18 16:00:00+00:00,5330.66592,5886.139589687362,0.674519176372263,3470.3140280480893,0.034703140280480896,500.0,-128.1487379915713,-0.25629747598314256,close_above_ema21,3,0.5,2020-03-18 04:00:00+00:00,559,561,558,100000.0,99871.85126200842,1.3881256112192357,1.4382545543496368
v2_a_daily_core_4h_ema21_pullback,2020-03-22 16:00:00+00:00,6071.48546,2020-03-23 16:00:00+00:00,6237.14718,6764.833074707989,0.720214861516979,4372.774059776251,0.04378384904776136,499.3592563100421,-122.85797678937698,-0.24603123950724753,close_above_ema21,7,1.1666666666666665,2020-03-22 12:00:00+00:00,585,591,584,99871.85126200842,99748.99328521904,1.7491096239105006,1.7968344370018867
v2_a_daily_core_4h_ema21_pullback,2020-03-28 00:00:00+00:00,6358.52804,2020-03-30 08:00:00+00:00,6245.64888,7052.072011863911,0.71912522732439,4572.577922213508,0.04584084281571471,498.74496642609523,77.54865895805375,0.15548760223837774,close_above_ema21,15,2.5,2020-03-27 20:00:00+00:00,617,631,616,99748.99328521904,99826.5419441771,1.8290311688854033,1.7965614682473288
v2_a_daily_core_4h_ema21_pullback,2020-04-01 16:00:00+00:00,6226.2545,2020-04-01 20:00:00+00:00,6674.558050127233,6673.223405446144,1.116705667081413,6952.8936848411495,0.06964974995056125,499.1327097208855,-506.3856791936707,-1.0145311443861114,stop_loss,2,0.3333333333333333,2020-04-01 12:00:00+00:00,645,646,644,99826.5419441771,99320.15626498342,2.7811574739364597,2.981406719936379
v2_a_daily_core_4h_ema21_pullback,2020-04-09 12:00:00+00:00,7182.76316,2020-04-09 16:00:00+00:00,7281.75606,7581.986097633987,1.2439184588642251,8934.771680373933,0.08995929946521843,496.60078132491714,-130.3361685890412,-0.26245663214888204,close_above_ema21,2,0.3333333333333333,2020-04-09 08:00:00+00:00,692,693,691,99320.15626498342,99189.82009639438,3.5739086721495736,3.623164310392173
v2_a_daily_core_4h_ema21_pullback,2020-04-10 04:00:00+00:00,7175.664580000001,2020-04-12 16:00:00+00:00,7018.50342,7534.48002484705,1.3821843725076484,9918.091444832658,0.09999102161082746,495.9491004819719,209.37811644103564,0.4221766230396594,close_above_ema21,16,2.6666666666666665,2020-04-10 00:00:00+00:00,696,711,695,99189.82009639438,99399.19821283541,3.9672365779330634,3.880346298206194
v2_a_daily_core_4h_ema21_pullback,2020-04-13 00:00:00+00:00,6901.31946,2020-04-14 04:00:00+00:00,6885.17676,7317.561379334095,1.1940075421987095,8240.227486362724,0.08290034159751064,496.9959910641771,12.690033364580819,0.02553347228698703,close_above_ema21,8,1.3333333333333333,2020-04-12 20:00:00+00:00,713,720,712,99399.19821283541,99411.88824619999,3.29609099454509,3.28838119232451
v2_a_daily_core_4h_ema21_pullback,2020-04-15 12:00:00+00:00,6783.1431,2020-04-16 08:00:00+00:00,6894.8787,7109.2404649540285,1.5242669664045678,10339.320955725076,0.10400487444840678,497.05944123099994,-178.65446676959482,-0.3594227409243962,close_above_ema21,6,1.0,2020-04-15 08:00:00+00:00,728,733,727,99411.88824619999,99233.23377943039,4.13572838229003,4.203854335910589
v2_a_daily_core_4h_ema21_pullback,2020-04-20 12:00:00+00:00,6966.9063400000005,2020-04-22 12:00:00+00:00,6953.2903799999995,7416.3071604506795,1.104061555560968,7691.893451187972,0.07751328016060674,496.166168897152,8.885356360297864,0.017908025410212258,close_above_ema21,13,2.1666666666666665,2020-04-20 08:00:00+00:00,758,770,757,99233.23377943039,99242.1191357907,3.076757380475189,3.0707442372839657
v2_a_daily_core_4h_ema21_pullback,2020-09-13 12:00:00+00:00,10324.9346,2020-09-14 08:00:00+00:00,10395.97878,10713.737523062775,1.2762522250863775,13177.220757121328,0.13277851049402967,496.2105956789535,-101.24833752725463,-0.20404307850121353,close_above_ema21,6,1.0,2020-09-13 08:00:00+00:00,1634,1639,1633,99242.1191357907,99140.87079826344,5.270888302848531,5.307156419970306
