symbol,combo,horizon_h,active_pct,flips,active_segments,median_active_run_h,whipsaw_active_le_6h_pct,bar_samples,bar_dir_mean_pct,bar_dir_win_pct,entry_signals,entry_dir_mean_pct,entry_dir_median_pct,entry_dir_win_pct
BTC-USDT-SWAP,trend_50/60/70_trigger_20/30/40,6,75.24799327000596,1876,940,35.0,11.382978723404255,42935,0.024167110634881056,48.885524630255034,940,0.12283201227930175,0.016637198648078444,50.638297872340424
BTC-USDT-SWAP,trend_50/60/70_trigger_20/30/40,12,75.24799327000596,1876,940,35.0,11.382978723404255,42935,0.04097025188624778,48.27995807616164,940,0.19027253008252643,0.07790024511195037,52.55319148936171
BTC-USDT-SWAP,trend_50/60/70_trigger_20/30/40,24,75.24799327000596,1876,940,35.0,11.382978723404255,42928,0.07864241707008422,48.103801714498694,940,0.11473741147864132,0.013081549595661546,50.42553191489362
BTC-USDT-SWAP,trend_50/60/70_trigger_20/30/40,48,75.24799327000596,1876,940,35.0,11.382978723404255,42904,0.15050868612322052,49.32407234756666,940,0.2190986628594328,0.01664778470225614,50.31914893617021
BTC-USDT-SWAP,trend_50/60/70_trigger_20/30/40,72,75.24799327000596,1876,940,35.0,11.382978723404255,42880,0.19498092128019173,48.680037313432834,940,0.17446198715585265,-0.016704548241719408,49.8936170212766
BTC-USDT-SWAP,trend_40/50/60_trigger_20/30/40,6,79.21062778225665,1988,997,34.0,12.437311935807422,45196,0.02330640328460878,48.90255774847332,997,0.04608013247857916,-0.08704263525487477,45.83751253761284
BTC-USDT-SWAP,trend_40/50/60_trigger_20/30/40,12,79.21062778225665,1988,997,34.0,12.437311935807422,45196,0.04331645806317026,48.49101690415081,997,0.14957040866873475,0.0347301433810121,50.65195586760281
BTC-USDT-SWAP,trend_40/50/60_trigger_20/30/40,24,79.21062778225665,1988,997,34.0,12.437311935807422,45189,0.07288781668696807,48.2440416915621,997,0.07537271618898386,-0.061235112213342546,48.846539618856575
BTC-USDT-SWAP,trend_40/50/60_trigger_20/30/40,48,79.21062778225665,1988,997,34.0,12.437311935807422,45165,0.13607391419121256,49.2173142920403,997,0.14222849415585276,-0.03620983212505591,49.44834503510532
BTC-USDT-SWAP,trend_40/50/60_trigger_20/30/40,72,79.21062778225665,1988,997,34.0,12.437311935807422,45141,0.18041397103758655,48.60548060521477,997,0.15225129271393967,-0.11132683092189843,48.64593781344032
BTC-USDT-SWAP,trend_50/60/70_trigger_50/55/60,6,94.46002313435451,1146,594,65.0,6.7340067340067336,53891,0.025025746640136456,49.65764227793138,593,0.05864522355016709,0.009477493913689905,50.252951096121414
BTC-USDT-SWAP,trend_50/60/70_trigger_50/55/60,12,94.46002313435451,1146,594,65.0,6.7340067340067336,53885,0.03934341433525701,49.03405400389719,593,0.09624733433989234,0.027705982594572465,50.75885328836425
BTC-USDT-SWAP,trend_50/60/70_trigger_50/55/60,24,94.46002313435451,1146,594,65.0,6.7340067340067336,53873,0.06653427193510447,48.70343214597293,593,0.07245826840391709,0.022822991262483328,51.09612141652614
BTC-USDT-SWAP,trend_50/60/70_trigger_50/55/60,48,94.46002313435451,1146,594,65.0,6.7340067340067336,53849,0.11530349540200299,49.4252446656391,593,0.12227033834280876,0.07091631782636387,51.264755480607086
BTC-USDT-SWAP,trend_50/60/70_trigger_50/55/60,72,94.46002313435451,1146,594,65.0,6.7340067340067336,53825,0.18059085303092304,49.29493729679517,593,0.06698857659103931,0.06604660191416034,51.264755480607086
BTC-USDT-SWAP,all_four_agree,6,75.14283711311298,1880,942,35.0,11.67728237791932,42875,0.023862745746571448,48.87696793002915,942,0.11933770576536976,0.009262221528127945,50.21231422505308
BTC-USDT-SWAP,all_four_agree,12,75.14283711311298,1880,942,35.0,11.67728237791932,42875,0.04052904756061363,48.261224489795914,942,0.18928498818813538,0.06252341006622864,52.016985138004245
BTC-USDT-SWAP,all_four_agree,24,75.14283711311298,1880,942,35.0,11.67728237791932,42868,0.07823139298304604,48.10348045161892,942,0.11750429472942857,0.009295747129894893,50.424628450106155
BTC-USDT-SWAP,all_four_agree,48,75.14283711311298,1880,942,35.0,11.67728237791932,42844,0.14932097239400738,49.3091214639156,942,0.23044964319259678,0.03447843571048326,50.530785562632694
BTC-USDT-SWAP,all_four_agree,72,75.14283711311298,1880,942,35.0,11.67728237791932,42820,0.1940303741610258,48.67585240541803,942,0.19780529365677707,0.016987179566552157,50.10615711252654
ETH-USDT-SWAP,trend_50/60/70_trigger_20/30/40,6,75.04925415142132,1920,961,34.0,12.79916753381894,42664,0.03858115685688603,48.66397899868742,961,0.06945125551055815,-0.023534445870776466,48.907388137356925
ETH-USDT-SWAP,trend_50/60/70_trigger_20/30/40,12,75.04925415142132,1920,961,34.0,12.79916753381894,42664,0.07251956851139506,48.27723607725483,961,0.13833251971171015,0.0053806190103200535,50.052029136316335
ETH-USDT-SWAP,trend_50/60/70_trigger_20/30/40,24,75.04925415142132,1920,961,34.0,12.79916753381894,42654,0.11008623107203562,48.007220893702815,961,0.17727236237571425,-0.08104690995147656,48.80332986472424
ETH-USDT-SWAP,trend_50/60/70_trigger_20/30/40,48,75.04925415142132,1920,961,34.0,12.79916753381894,42630,0.15167250869187482,48.31339432324654,961,0.1496655928926421,-0.22103888274891403,47.45057232049948
ETH-USDT-SWAP,trend_50/60/70_trigger_20/30/40,72,75.04925415142132,1920,961,34.0,12.79916753381894,42606,0.20873914084726175,48.52368211050087,961,0.07072064461504234,-0.3547508505297059,46.82622268470343
ETH-USDT-SWAP,trend_40/50/60_trigger_20/30/40,6,79.11799887419082,2011,1008,34.0,12.3015873015873,44977,0.0338175277307928,48.620405985281366,1007,0.10077973756968228,-0.018902612703597388,49.056603773584904
