trade_id,symbol,timeframe,direction,cross_time,entry_time,exit_time,entry_price,exit_price,ema15_at_entry,ma50_at_entry,atr_at_entry,stop_price,qty,gross_pnl,fee,slippage,net_pnl,r_multiple,exit_reason,bars_after_cross,pullback_index,pullback_depth_pct,ema15_slope_5,ema15_slope_10,ma50_slope_10,daily_filter_pass,max_r_before_exit,max_drawdown_r,holding_bars
T0001,ETH-USDT-SWAP,4H,long,2020-02-24 00:00,2020-02-24 12:00,2020-02-25 00:00,268.1,267.28,267.0217541428543501511906966,265.0458,7.06044203625924338149287004,259.62,11.79,-9.6678,1.608578082,0,-11.276378082,-0.1127872405660377358490566038,EMA15收破离场,2,1,0.3451981453021312952597015453,0.01240358364689382554641647879,0.01585351908332482364536202614,-0.00654905680452208637148749386,true,0.5082547169811320754716981132,1.265330188679245283018867925,3
T0002,ETH-USDT-SWAP,4H,long,2020-03-05 16:00,2020-03-06 08:00,2020-03-08 08:00,228.58,237.4,227.6682394403855589502259836,225.6816,5.435151693539603066532932084,222.05,15.31,135.0342,1.83338781,0,133.20081219,1.33235053598774885145482389,EMA15收破离场,3,1,0.5043476609684167164036573927,0.01203515533715226936833690142,0.007467382301155373715746956735,-0.01779320954831940220204039674,true,3.563552833078101071975497703,0.1852986217457886676875957121,12
T0003,ETH-USDT-SWAP,4H,long,2020-03-20 12:00,2020-03-21 04:00,2020-03-21 04:00,131.23,121.31,130.6250473877348892593659844,123.5546,8.262247683432821463802511271,121.31,10.08,-99.9936,0.638629488,0,-100.632229488,-1.006386703629032258064516129,止损,3,1,0.2641510143997755776543549637,0.05816593613146767533586220576,0.1078062053068974014502450977,-0.08523842900223868637832990435,true,0.6622983870967741935483870968,1.479838709677419354838709677,0
T0004,ETH-USDT-SWAP,4H,long,2020-04-02 12:00,2020-04-04 04:00,2020-04-10 12:00,142.24,163.34,139.4538686784106486297841976,133.6782,3.894954806511795080108486316,137.56,21.36,450.696,1.711756224,0,448.984243776,4.491423418803418803418803419,EMA15收破离场,9,1,1.157277810723437751907144867,0.02489107981887050600555389228,0.04921661374888628362466970044,0.007732001178950644158883048994,true,7.331196581196581196581196581,0.7200854700854700854700854701,38
T0005,ETH-USDT-SWAP,4H,long,2020-05-08 20:00,2020-05-09 12:00,2020-05-10 08:00,213.94,210.24,210.1194470158461534374350376,208.7868,5.192582661230230924135743153,207.7,16.02,-59.274,1.726593948,0,-61.000593948,-0.6102207371794871794871794872,EMA15收破离场,3,1,0.3947502373655117744182239285,0.009875018522948212411214695973,0.02244797363846884662454345779,-0.00160642339458241612975532936,true,0.0641025641025641025641025641,5.528846153846153846153846154,5
T0006,ETH-USDT-SWAP,4H,long,2020-05-16 12:00,2020-05-17 04:00,2020-05-21 00:00,200.02,208.06,198.8694219365791691486852821,197.2468,4.701659016054144572063222264,194.37,17.69,142.2276,1.855762374,0,140.371837626,1.404441663716814159292035398,EMA15收破离场,3,1,0.9098542747090632612398166761,0.005088614391414312986402881629,0.002962155269537256546133295463,-0.009110413958553446747932032357,true,3.02831858407079646017699115,0.07433628318584070796460176991,23
T0007,ETH-USDT-SWAP,4H,long,2020-05-23 12:00,2020-05-23 20:00,2020-05-24 20:00,207.12,205.92,206.2901422311476626492279783,206.1558,4.218787964464129706120309081,202.05,19.72,-23.664,2.074528224,0,-25.738528224,-0.257435739644970414201183432,EMA15收破离场,1,1,0.4557378365148613317236053417,0.008158204139085968272032729209,-0.005332397083654675339845632089,0.004043543766413557125242171212,true,0.7080867850098619329388560158,0.6804733727810650887573964497,6
T0008,ETH-USDT-SWAP,4H,long,2020-07-04 12:00,2020-07-05 04:00,2020-07-05 16:00,229,226.78,226.768304952600906092814204,226.3844,2.728720499898104195074541325,225.72,30.48,-67.6656,3.535399584,0,-71.200999584,-0.7121923170731707317073170732,EMA15收破离场,3,1,0.5681150868372842035067901006,-0.0001810133737541013863474764355,-0.001979012265247523845026668378,-0.005041866842414936718254438027,true,0.2286585365853658536585365854,1.676829268292682926829268293,3
T0009,ETH-USDT-SWAP,4H,long,2020-07-21 12:00,2020-07-23 08:00,2020-07-30 12:00,264.01,316.41,244.781797372085775923901145,237.947,4.12563417896119564926705747,259.05,20.16,1056.384,3.094743456,0,1053.289256544,10.53356671370967741935483871,EMA15收破离场,10,1,0.04975752829391772079692943715,0.01713949322590192300416030032,0.03186384266227759559057898762,0.004470743484893694814391440111,true,14.15120967741935483870967742,0.8266129032258064516129032258,43
T0010,ETH-USDT-SWAP,4H,long,2020-09-28 04:00,2020-09-29 20:00,2020-09-30 12:00,357.54,355.74,355.8421023574398989388767417,347.5068,7.044976841255733243717026102,349.08,11.82,-21.276,2.147663268,0,-23.423663268,-0.2342431914893617021276595745,EMA15收破离场,9,1,0.4783307950811716563952503099,0.001212959890389352963594041401,0.01216905250435739856874227754,-0.01182365352275120947273549755,true,0.361702127659574468085106383,0.678486997635933806146572104,4
