strategy_name,start_date,end_date,initial_capital,final_equity,total_return,annual_return,max_drawdown,profit_factor,win_rate,trade_count,average_R,median_R,largest_win_R,largest_loss_R,average_holding_days,max_consecutive_losses,sharpe,sortino,calmar,entry_strategy_name,exit_rule_kind,score
v3_exit_ema21_reclaim,2019-12-16T04:00:00+00:00,2026-06-02T12:00:00+00:00,100000.0,103502.07076293645,0.03502070762936449,0.005341515604515346,-0.012636734970622787,1.641186407428543,0.28846153846153844,52,0.13473409978587084,-0.17250588835618455,4.597335348606923,-0.8480075806894257,2.314102564102564,9,0.16030144403200663,0.04846330127958543,0.42269744652657654,v2_e_daily_volume_4h_dual_bear_volume,ema21_reclaim,4.608814132727226
v3_exit_ema21_or_2R,2019-12-16T04:00:00+00:00,2026-06-02T12:00:00+00:00,100000.0,102922.97764930625,0.029229776493062465,0.004468905108130361,-0.012636734970622676,1.5333294170624077,0.3018867924528302,53,0.11027814795745304,-0.1720056547575937,1.9918063533896337,-0.8480075806894256,1.8396226415094339,9,0.16281825952302223,0.040429415194596495,0.3536439688352628,v2_e_daily_volume_4h_dual_bear_volume,ema21_or_fixed_r,4.234366965527138
v3_exit_atr_trail_1_5ATR_or_2R,2019-12-16T04:00:00+00:00,2026-06-02T12:00:00+00:00,100000.0,101455.69676805737,0.014556967680573685,0.002239200199446012,-0.009247400446158571,1.2810576315871869,0.3448275862068966,58,0.05064938082483062,-0.12596590587482245,1.972482371649436,-0.551356017401496,1.175287356321839,4,0.1082693013558641,0.025157316591788846,0.24214374758434842,v2_e_daily_volume_4h_dual_bear_volume,atr_trail_or_fixed_r,3.3676708011859064
v3_exit_atr_trail_2ATR,2019-12-16T04:00:00+00:00,2026-06-02T12:00:00+00:00,100000.0,100567.91781015605,0.0056791781015606,0.0008768468294586551,-0.015308366487910563,1.088930790475049,0.37037037037037035,54,0.02202249811945474,-0.17315006966158297,2.3337764489492194,-0.7881284509602123,1.9691358024691352,4,0.04006241884695285,0.007573681065366582,0.0572789284964614,v2_e_daily_volume_4h_dual_bear_volume,atr_trail,2.725581544373647
v3_exit_fixed_1_5R,2019-12-16T04:00:00+00:00,2026-06-02T12:00:00+00:00,100000.0,96215.09349732958,-0.037849065026704154,-0.005953725147233135,-0.04881690758127133,0.6567726074000317,0.3125,32,-0.23765066725300482,-1.0147349776806918,1.4890285631964708,-1.0510728099509714,11.453125,7,-0.18237148790129132,-1.0864776093472874,-0.12196030929081812,v2_e_daily_volume_4h_dual_bear_volume,fixed_r,-2.649202397177433
v3_exit_fixed_2R,2019-12-16T04:00:00+00:00,2026-06-02T12:00:00+00:00,100000.0,95752.26756087122,-0.04247732439128782,-0.006695281078741511,-0.050381846279076714,0.6120651950129393,0.2413793103448276,29,-0.29501784628483424,-1.0155408349679864,1.9893286031964705,-1.0510728099509714,13.339080459770116,9,-0.19354028526398412,-1.235071274749204,-0.1328907448459669,v2_e_daily_volume_4h_dual_bear_volume,fixed_r,-6.005569666447668
