year,strategy_name,year_start_equity,year_end_equity,year_return,trade_count,win_rate,max_drawdown,profit_factor,entry_strategy_name
2021,v3_exit_ema21_reclaim,100000.0,100154.5922473154,0.0015459224731539933,2,0.5,0.0,4.291614012598731,v2_e_daily_volume_4h_dual_bear_volume
2022,v3_exit_ema21_reclaim,100154.5922473154,100661.33516912966,0.0050596074572690775,18,0.3888888888888889,-0.007798338629792845,1.269739485444118,v2_e_daily_volume_4h_dual_bear_volume
2023,v3_exit_ema21_reclaim,100661.33516912966,100418.76577753067,-0.002409757343188601,3,0.0,-0.001955208284157517,0.0,v2_e_daily_volume_4h_dual_bear_volume
2024,v3_exit_ema21_reclaim,100418.76577753067,101264.8202350897,0.008425262459741845,7,0.42857142857142855,-0.0014371206661497604,4.640889504056737,v2_e_daily_volume_4h_dual_bear_volume
2025,v3_exit_ema21_reclaim,101264.8202350897,102133.82386810347,0.008581495834351305,15,0.2,-0.012636734970622787,1.4174206762919512,v2_e_daily_volume_4h_dual_bear_volume
2026,v3_exit_ema21_reclaim,102133.82386810347,103502.07076293645,0.013396608909894026,7,0.14285714285714285,-0.009374577451656818,2.396925354750747,v2_e_daily_volume_4h_dual_bear_volume
2021,v3_exit_fixed_1_5R,100000.0,100232.38000390273,0.002323800039027324,2,0.5,0.0,1.4624869834088503,v2_e_daily_volume_4h_dual_bear_volume
2022,v3_exit_fixed_1_5R,100232.38000390273,98389.35517401288,-0.0183875193806442,11,0.2727272727272727,-0.025641755663658117,0.5463713406630505,v2_e_daily_volume_4h_dual_bear_volume
2023,v3_exit_fixed_1_5R,98389.35517401288,96880.1560465242,-0.015339048871897631,3,0.0,-0.01022263710615079,0.0,v2_e_daily_volume_4h_dual_bear_volume
2024,v3_exit_fixed_1_5R,96880.1560465242,96827.67711671446,-0.0005416891544284264,5,0.4,-0.005102833835910592,0.9645428582847138,v2_e_daily_volume_4h_dual_bear_volume
2025,v3_exit_fixed_1_5R,96827.67711671446,97480.3686161157,0.006740753458481574,6,0.5,-0.0152886047146229,1.4376787848359391,v2_e_daily_volume_4h_dual_bear_volume
2026,v3_exit_fixed_1_5R,97480.3686161157,96215.09349732958,-0.012979794154952873,5,0.2,-0.015197145245927968,0.3614794461522109,v2_e_daily_volume_4h_dual_bear_volume
2021,v3_exit_fixed_2R,100000.0,98987.91439024603,-0.010120856097539654,2,0.0,-0.0051220181279579835,0.0,v2_e_daily_volume_4h_dual_bear_volume
2022,v3_exit_fixed_2R,98987.91439024603,96934.26183065627,-0.02074649791583172,10,0.2,-0.030390853956557384,0.48878487449517877,v2_e_daily_volume_4h_dual_bear_volume
2023,v3_exit_fixed_2R,96934.26183065627,95447.38245107449,-0.015339048871897853,3,0.0,-0.0102226371061509,0.0,v2_e_daily_volume_4h_dual_bear_volume
2024,v3_exit_fixed_2R,95447.38245107449,96356.89395619612,0.00952893082833195,4,0.5,-0.005102833835910481,1.9328966274393151,v2_e_daily_volume_4h_dual_bear_volume
2025,v3_exit_fixed_2R,96356.89395619612,96771.15801024067,0.004299267411347563,5,0.4,-0.015288604714622678,1.2784610131870735,v2_e_daily_volume_4h_dual_bear_volume
2026,v3_exit_fixed_2R,96771.15801024067,95752.26756087122,-0.010528864904785329,5,0.2,-0.015197145245927857,0.48301095923463405,v2_e_daily_volume_4h_dual_bear_volume
2021,v3_exit_ema21_or_2R,100000.0,100154.5922473154,0.0015459224731539933,2,0.5,0.0,4.291614012598731,v2_e_daily_volume_4h_dual_bear_volume
2022,v3_exit_ema21_or_2R,100154.5922473154,101537.7477277561,0.01381020529767829,18,0.3888888888888889,-0.007798338629792512,1.7345674404404356,v2_e_daily_volume_4h_dual_bear_volume
2023,v3_exit_ema21_or_2R,101537.7477277561,101293.06639455832,-0.00240975734318849,3,0.0,-0.001955208284157295,0.0,v2_e_daily_volume_4h_dual_bear_volume
2024,v3_exit_ema21_or_2R,101293.06639455832,102369.97848366878,0.010631646641199088,7,0.42857142857142855,-0.0014371206661497604,5.588078750238651,v2_e_daily_volume_4h_dual_bear_volume
2025,v3_exit_ema21_or_2R,102369.97848366878,102879.76807383624,0.0049798739603017506,16,0.25,-0.012636734970622676,1.2430677978255988,v2_e_daily_volume_4h_dual_bear_volume
2026,v3_exit_ema21_or_2R,102879.76807383624,102922.97764930625,0.0004200007083901003,7,0.14285714285714285,-0.009374577451656929,1.0443634614800605,v2_e_daily_volume_4h_dual_bear_volume
2021,v3_exit_atr_trail_2ATR,100000.0,100270.61957755276,0.0027061957755276644,2,1.0,0.0,999.0,v2_e_daily_volume_4h_dual_bear_volume
2022,v3_exit_atr_trail_2ATR,100270.61957755276,100449.02380005826,0.0017792272876853144,20,0.35,-0.006244941385358027,1.0766109077592005,v2_e_daily_volume_4h_dual_bear_volume
2023,v3_exit_atr_trail_2ATR,100449.02380005826,100518.23921802553,0.0006890601356668302,2,0.5,-0.0009145613204447622,1.7522250171215048,v2_e_daily_volume_4h_dual_bear_volume
2024,v3_exit_atr_trail_2ATR,100518.23921802553,101250.32013513595,0.007283065469566363,7,0.42857142857142855,-0.004547172010135769,1.879794568265409,v2_e_daily_volume_4h_dual_bear_volume
2025,v3_exit_atr_trail_2ATR,101250.32013513595,101115.6932690324,-0.001329643856176066,16,0.3125,-0.011623157053153088,0.9320057311693681,v2_e_daily_volume_4h_dual_bear_volume
2026,v3_exit_atr_trail_2ATR,101115.6932690324,100567.91781015605,-0.005417313981311622,7,0.2857142857142857,-0.011116677116716822,0.5250230335507327,v2_e_daily_volume_4h_dual_bear_volume
2021,v3_exit_atr_trail_1_5ATR_or_2R,100000.0,100298.92922143567,0.0029892922143566203,2,0.5,0.0,5.949043280865001,v2_e_daily_volume_4h_dual_bear_volume
2022,v3_exit_atr_trail_1_5ATR_or_2R,100298.92922143567,101184.86297937576,0.008832933360476414,21,0.38095238095238093,-0.0051652051528852105,1.4979018845037877,v2_e_daily_volume_4h_dual_bear_volume
2023,v3_exit_atr_trail_1_5ATR_or_2R,101184.86297937576,101168.4351715596,-0.00016235440096912246,3,0.3333333333333333,-0.0025358328847169265,0.9361278912758142,v2_e_daily_volume_4h_dual_bear_volume
2024,v3_exit_atr_trail_1_5ATR_or_2R,101168.4351715596,100878.71717365406,-0.002863719275821963,8,0.25,-0.0031672145059989942,0.489194007939414,v2_e_daily_volume_4h_dual_bear_volume
2025,v3_exit_atr_trail_1_5ATR_or_2R,100878.71717365406,101743.74014379503,0.008574880751624825,17,0.35294117647058826,-0.005845247688017863,1.593720211690288,v2_e_daily_volume_4h_dual_bear_volume
2026,v3_exit_atr_trail_1_5ATR_or_2R,101743.74014379503,101455.69676805737,-0.002831067300362311,7,0.2857142857142857,-0.009247400446158571,0.727821208631234,v2_e_daily_volume_4h_dual_bear_volume
