session_date,session_date_ts,symbol,entry_time_utc,entry_time_local,next_session_date,prev_day_open,prev_day_high,prev_day_low,prev_day_close,prev_day_volume,prev_day_color,prev_day_return_pct,prev_day_body_ratio,prev_day_upper_wick_ratio,prev_day_lower_wick_ratio,prev_day_trend_bucket,prev_day_breakout_bucket,prev_day_atr20,signal_time_utc,signal_time_local,signal_open,signal_high,signal_low,signal_close,signal_volume,signal_color,signal_return_pct,signal_range,signal_body,signal_body_ratio,signal_upper_wick_ratio,signal_lower_wick_ratio,signal_close_location,signal_strength_bucket,signal_wick_bucket,signal_volume_ratio_24,signal_volume_bucket,signal_breakout_bucket,same_direction_prev_day_and_signal,next_day_open,next_day_high,next_day_low,next_day_close,next_day_volume,next_day_color,next_day_return_pct,long_entry_price,long_stop_price,long_risk,long_stop_hit,long_hit_1r,long_hit_2r,long_first_touch,long_final_close_r,long_realized_r,long_mfe_r,long_mae_r,long_ambiguous_bars,short_entry_price,short_stop_price,short_risk,short_stop_hit,short_hit_1r,short_hit_2r,short_first_touch,short_final_close_r,short_realized_r,short_mfe_r,short_mae_r,short_ambiguous_bars
2019-12-17,2019-12-17 00:00:00+00:00,BTC-USDT-SWAP,2019-12-18 00:00:00+00:00,2019-12-18 08:00:00+00:00,2019-12-18,6892.9,6953.7,6541.2,6624.0,20426930.0,bear,-0.03901115640731767,0.651878787878787,0.14739393939393983,0.20072727272727317,sideways,close_break_prior_low,,2019-12-17 23:00:00+00:00,2019-12-18 07:00:00+00:00,6588.9,6639.2,6558.5,6624.0,1457204.0,bull,0.005327141100942567,80.69999999999982,35.100000000000364,0.4349442379182211,0.1883519206939263,0.3767038413878526,0.8116480793060737,medium,lower_rejection,1.814773513537131,high_volume,inside_session_range,False,6623.8,7498.2,6415.7,7285.0,69167880.0,bull,0.09982185452459302,6624.0,6558.5,65.5,True,True,True,1r,10.091603053435115,-1.0,13.34656488549618,3.180152671755728,1,6624.0,6639.2,15.199999999999818,True,True,True,ambiguous_stop_first,-43.486842105263676,-1.0,13.703947368421229,57.51315789473752,5
2019-12-18,2019-12-18 00:00:00+00:00,BTC-USDT-SWAP,2019-12-19 00:00:00+00:00,2019-12-19 08:00:00+00:00,2019-12-19,6623.8,7498.2,6415.7,7285.0,69167880.0,bull,0.09982185452459302,0.6108083140877596,0.19695150115473425,0.19224018475750612,sideways,close_break_prior_high,,2019-12-18 23:00:00+00:00,2019-12-19 07:00:00+00:00,7455.8,7455.8,7238.4,7285.0,5579120.0,bear,-0.02290833981598217,217.40000000000055,170.80000000000018,0.7856485740570366,0.0,0.21435142594296341,0.21435142594296341,strong,balanced,2.058527105540322,high_volume,inside_session_range,False,7286.8,7390.8,7040.0,7142.9,65926574.0,bear,-0.019748037547345998,7285.0,7238.4,46.600000000000364,True,False,False,ambiguous_stop_first,-3.0493562231759497,-1.0,2.2703862660944067,5.257510729613693,1,7285.0,7455.8,170.80000000000018,False,True,False,1r,0.8319672131147553,0.8319672131147553,1.434426229508195,0.6194379391100706,0
2019-12-19,2019-12-19 00:00:00+00:00,BTC-USDT-SWAP,2019-12-20 00:00:00+00:00,2019-12-20 08:00:00+00:00,2019-12-20,7286.8,7390.8,7040.0,7142.9,65926574.0,bear,-0.019748037547345998,0.4102052451539352,0.2964652223489166,0.29332953249714816,sideways,inside_prior_day_range,,2019-12-19 23:00:00+00:00,2019-12-20 07:00:00+00:00,7151.8,7151.9,7130.9,7142.9,1158084.0,bear,-0.0012444419586677968,21.0,8.900000000000546,0.4238095238095498,0.004761904761878776,0.5714285714285714,0.5714285714285714,medium,lower_rejection,0.39509538419286744,low_volume,inside_session_range,True,7148.2,7238.1,7011.6,7180.2,61108674.0,bull,0.004476651464704329,7142.9,7130.9,12.0,True,True,True,stop,3.1083333333333485,-1.0,7.933333333333394,10.941666666666606,2,7142.9,7151.9,9.0,True,True,True,2r,-4.144444444444464,-1.0,14.588888888888809,10.57777777777786,2
2019-12-20,2019-12-20 00:00:00+00:00,BTC-USDT-SWAP,2019-12-21 00:00:00+00:00,2019-12-21 08:00:00+00:00,2019-12-21,7148.2,7238.1,7011.6,7180.2,61108674.0,bull,0.004476651464704329,0.141280353200883,0.25562913907285006,0.6030905077262669,sideways,wick_break_prior_low,,2019-12-20 23:00:00+00:00,2019-12-21 07:00:00+00:00,7177.3,7182.3,7173.0,7180.2,1051872.0,bull,0.00040405166288159933,9.300000000000182,2.899999999999636,0.31182795698920207,0.22580645161293791,0.46236559139786,0.7741935483870621,weak,lower_rejection,0.41239851365564906,low_volume,inside_session_range,True,7180.2,7204.4,7086.3,7134.9,43522420.0,bear,-0.006309016461937045,7180.2,7173.0,7.199999999999818,True,False,False,stop,-6.291666666666851,-1.0,3.3611111111111707,13.041666666666945,1,7180.2,7182.3,2.100000000000364,True,True,True,2r,21.57142857142492,-1.0,44.71428571427779,11.52380952380744,1
2019-12-21,2019-12-21 00:00:00+00:00,BTC-USDT-SWAP,2019-12-22 00:00:00+00:00,2019-12-22 08:00:00+00:00,2019-12-22,7180.2,7204.4,7086.3,7134.9,43522420.0,bear,-0.006309016461937045,0.3835732430143979,0.20491109229466495,0.41151566469093714,sideways,inside_prior_day_range,,2019-12-21 23:00:00+00:00,2019-12-22 07:00:00+00:00,7133.9,7139.4,7126.0,7134.9,972800.0,bull,0.00014017578042868628,13.399999999999636,1.0,0.07462686567164381,0.3358208955223972,0.589552238805959,0.6641791044776029,weak,lower_rejection,0.5354679147218173,low_volume,inside_session_range,False,7132.3,7536.8,7127.5,7495.7,64949782.0,bull,0.05095130603031284,7134.9,7126.0,8.899999999999636,False,True,True,2r,40.539325842698304,40.539325842698304,45.157303370788426,0.8314606741572965,0,7134.9,7139.4,4.5,True,True,False,1r,-80.17777777777782,-1.0,1.6444444444443636,89.31111111111123,0
2019-12-22,2019-12-22 00:00:00+00:00,BTC-USDT-SWAP,2019-12-23 00:00:00+00:00,2019-12-23 08:00:00+00:00,2019-12-23,7132.3,7536.8,7127.5,7495.7,64949782.0,bull,0.05095130603031284,0.8878573173711202,0.10041534326899669,0.011727339359883166,sideways,close_break_prior_high,,2019-12-22 23:00:00+00:00,2019-12-23 07:00:00+00:00,7405.0,7536.8,7405.0,7495.7,6004352.0,bull,0.012248480756245739,131.80000000000018,90.69999999999982,0.6881638846737458,0.3118361153262542,0.0,0.6881638846737458,strong,balanced,2.4050184392963545,high_volume,close_break_session_high,True,7495.7,7716.9,7202.9,7320.1,137791046.0,bear,-0.023426764678415535,7495.7,7405.0,90.69999999999982,True,True,True,1r,-1.9360529217199538,-1.0,2.438809261300995,3.228224917309821,0,7495.7,7536.8,41.100000000000364,True,True,True,stop,4.27250608272501,-1.0,7.1240875912408175,5.381995133819899,3
2019-12-23,2019-12-23 00:00:00+00:00,BTC-USDT-SWAP,2019-12-24 00:00:00+00:00,2019-12-24 08:00:00+00:00,2019-12-24,7495.7,7716.9,7202.9,7320.1,137791046.0,bear,-0.023426764678415535,0.34163424124513514,0.4303501945525288,0.22801556420233604,sideways,wick_break_prior_high,,2019-12-23 23:00:00+00:00,2019-12-24 07:00:00+00:00,7295.3,7342.0,7295.3,7320.1,4787080.0,bull,0.0033994489602895417,46.69999999999982,24.800000000000182,0.5310492505353379,0.46895074946466214,0.0,0.5310492505353379,medium,upper_rejection,0.8264967280591079,normal_volume,inside_session_range,False,7318.8,7458.0,7131.6,7255.2,129415206.0,bear,-0.008689949171995504,7320.1,7295.3,24.800000000000182,True,True,True,stop,-2.6169354838709706,-1.0,5.560483870967687,7.600806451612847,2,7320.1,7342.0,21.899999999999636,True,True,True,1r,2.9634703196347774,-1.0,8.607305936073203,6.296803652968125,2
2019-12-24,2019-12-24 00:00:00+00:00,BTC-USDT-SWAP,2019-12-25 00:00:00+00:00,2019-12-25 08:00:00+00:00,2019-12-25,7318.8,7458.0,7131.6,7255.2,129415206.0,bear,-0.008689949171995504,0.19485294117647192,0.42647058823529405,0.37867647058823406,sideways,wick_break_prior_low,,2019-12-24 23:00:00+00:00,2019-12-25 07:00:00+00:00,7240.3,7290.0,7213.0,7255.2,2818122.0,bull,0.0020579257765562797,77.0,14.899999999999636,0.19350649350648877,0.4519480519480543,0.3545454545454569,0.5480519480519457,weak,two_sided,0.5147875203589984,low_volume,inside_session_range,False,7254.1,7262.3,7121.7,7199.9,32348175.0,bear,-0.0074716367295737385,7255.2,7213.0,42.19999999999982,True,False,False,stop,-1.3104265402843702,-1.0,0.16824644549763967,3.163507109004753,0,7255.2,7290.0,34.80000000000018,False,True,True,1r,1.5890804597701118,1.5890804597701118,3.836206896551704,0.2040229885057565,0
2019-12-25,2019-12-25 00:00:00+00:00,BTC-USDT-SWAP,2019-12-26 00:00:00+00:00,2019-12-26 08:00:00+00:00,2019-12-26,7254.1,7262.3,7121.7,7199.9,32348175.0,bear,-0.0074716367295737385,0.3854907539118107,0.05832147937410951,0.5561877667140798,sideways,wick_break_prior_low,,2019-12-25 23:00:00+00:00,2019-12-26 07:00:00+00:00,7214.0,7215.4,7191.0,7199.9,880409.0,bear,-0.0019545328527863504,24.399999999999636,14.100000000000364,0.57786885245904,0.05737704918031381,0.36475409836064626,0.36475409836064626,medium,lower_rejection,0.6162831774985673,low_volume,inside_session_range,True,7199.9,7433.7,7157.6,7207.0,57168522.0,bull,0.0009861248072891016,7199.9,7191.0,8.899999999999636,True,True,True,1r,0.7977528089888375,-1.0,26.269662921349408,4.752808988764158,4,7199.9,7215.4,15.5,True,True,True,stop,-0.45806451612905574,-1.0,2.729032258064469,15.083870967741948,1
2019-12-26,2019-12-26 00:00:00+00:00,BTC-USDT-SWAP,2019-12-27 00:00:00+00:00,2019-12-27 08:00:00+00:00,2019-12-27,7199.9,7433.7,7157.6,7207.0,57168522.0,bull,0.0009861248072891016,0.025715320536039036,0.8210793190872882,0.1532053603766728,sideways,wick_break_prior_high,,2019-12-26 23:00:00+00:00,2019-12-27 07:00:00+00:00,7202.7,7213.3,7186.5,7207.0,1835341.0,bull,0.0005969983478417706,26.800000000000182,4.300000000000182,0.16044776119403556,0.23507462686567684,0.6044776119402876,0.7649253731343232,weak,lower_rejection,0.7835860331994452,normal_volume,inside_session_range,True,7203.2,7266.0,7087.0,7248.8,90001651.0,bull,0.0063305197689915715,7207.0,7186.5,20.5,True,True,True,1r,2.0390243902439114,-1.0,2.8780487804878048,5.853658536585366,2,7207.0,7213.3,6.300000000000182,True,True,True,ambiguous_stop_first,-6.634920634920472,-1.0,19.047619047618497,9.365079365079096,11
