condition_group,condition_value,side,sample_count,conclusion_level,next_day_bull_rate,next_day_bear_rate,hit_stop_first_rate,hit_1R_first_rate,hit_2R_first_rate,hit_1R_rate,hit_2R_rate,stop_rate,avg_final_close_R,median_final_close_R,gross_expectancy_R,net_expectancy_R,net_median_R,positive_net_rate,avg_mfe_R,avg_mae_R,avg_risk_pct,ambiguous_bar_rate
phase2_core_setup,sideways__kept_bull__long_upper_bear__high_area__no_breakout,long,33,conclusion_ok,0.48484848484848486,0.5151515151515151,0.8484848484848485,0.030303030303030304,0.12121212121212122,0.9393939393939394,0.8787878787878788,0.9696969696969697,24.25110446461287,-0.3485401459853795,5.793388429761013,5.743388429761011,-1.05,0.030303030303030304,45.3286291345365,16.853611282577045,0.0012979179088408522,0.8484848484848485
phase2_simple_setup,bear__long_upper_bear__high_area__shrinking_volume,long,68,conclusion_ok,0.39705882352941174,0.6029411764705882,0.8676470588235294,0.029411764705882353,0.10294117647058823,0.9117647058823529,0.8676470588235294,0.9558823529411765,10.113252210090835,-3.6833333333334215,3.015755336189058,2.9657553361890567,-1.05,0.04411764705882353,38.47882187510814,32.1278032295366,0.0011303003228820073,0.8529411764705882
phase2_simple_setup,bear__true_weak_bear__high_area__shrinking_volume,long,39,conclusion_ok,0.5128205128205128,0.48717948717948717,0.7894736842105263,0.0,0.21052631578947367,0.9736842105263158,0.9473684210526315,0.9210526315789473,304.6115947822728,0.7580657069029422,2.2989186106118824,2.2489186106118835,-1.05,0.07692307692307693,372.00711393732627,74.05639847409152,0.0009695072991298871,0.8717948717948718
phase2_simple_setup,bear__true_weak_bear__middle_area__shrinking_volume,long,61,conclusion_ok,0.5901639344262295,0.4098360655737705,0.8135593220338984,0.0,0.1864406779661017,1.0,0.9830508474576272,0.9491525423728814,187.0195028441641,4.891823899371087,1.9090584533890702,1.8590584533890708,-1.05,0.04918032786885246,478.2152438467683,56.06403858247683,0.0009529148172973459,0.9180327868852459
phase2_simple_setup,bear__long_upper_bear__middle_area__shrinking_volume,long,119,conclusion_ok,0.5210084033613446,0.4789915966386555,0.8103448275862069,0.017241379310344827,0.1724137931034483,0.9913793103448276,0.9224137931034483,0.9568965517241379,-154.11547430559895,0.6642213613559707,1.641997271884629,1.5919972718846283,-1.05,0.04201680672268908,106.16044808520287,284.1393628513933,0.0011978264223678218,0.8991596638655462
phase2_simple_setup,bull__long_upper_bull__high_area__normal_volume,long,46,conclusion_ok,0.6304347826086957,0.3695652173913043,0.5869565217391305,0.21739130434782608,0.1956521739130435,0.9347826086956522,0.8260869565217391,0.8478260869565217,2.483684464858237,1.2697596005203544,1.4317362589893363,1.3817362589893367,-1.05,0.15217391304347827,9.431689152724728,6.382283024484425,0.004449250013302851,0.5217391304347826
phase2_simple_setup,bull__long_lower_bull__middle_area__shrinking_volume,long,94,conclusion_ok,0.5638297872340425,0.43617021276595747,0.4787234042553192,0.4148936170212766,0.10638297872340426,0.8829787234042553,0.6914893617021277,0.8085106382978723,1.9588747533183877,0.41761296982778645,1.1322310324083067,1.0822310324083075,-1.05,0.1702127659574468,5.993115019924116,4.394578131902828,0.004426899348235014,0.40425531914893614
prev_3_days_bullish,True,long,272,conclusion_ok,0.49264705882352944,0.5073529411764706,0.6433823529411765,0.20955882352941177,0.14338235294117646,0.8639705882352942,0.7205882352941176,0.8492647058823529,40.392501107374024,-0.1078870138162436,1.1211568384548949,1.0711568384548948,-1.05,0.14338235294117646,57.41196251922155,17.69614521880634,0.00472484100973347,0.5110294117647058
recent_3day_bias,three_bullish,long,272,conclusion_ok,0.49264705882352944,0.5073529411764706,0.6433823529411765,0.20955882352941177,0.14338235294117646,0.8639705882352942,0.7205882352941176,0.8492647058823529,40.392501107374024,-0.1078870138162436,1.1211568384548949,1.0711568384548948,-1.05,0.14338235294117646,57.41196251922155,17.69614521880634,0.00472484100973347,0.5110294117647058
last_hour_wick_type,long_upper_bear,long,362,conclusion_ok,0.47513812154696133,0.5248618784530387,0.8095238095238095,0.03081232492997199,0.15966386554621848,0.9523809523809523,0.8935574229691877,0.9523809523809523,-102.23707635683456,-1.0937284631288675,1.0360196795151413,0.9860196795151409,-1.05,0.04696132596685083,72.13938561409074,168.33572655536494,0.0015203356007325362,0.856353591160221
