condition_group,condition_value,side,sample_count,conclusion_level,next_day_bull_rate,next_day_bear_rate,hit_stop_first_rate,hit_1R_first_rate,hit_2R_first_rate,hit_1R_rate,hit_2R_rate,stop_rate,avg_final_close_R,median_final_close_R,gross_expectancy_R,net_expectancy_R,net_median_R,positive_net_rate,avg_mfe_R,avg_mae_R,avg_risk_pct,ambiguous_bar_rate
phase2_simple_setup,bull__long_upper_bull__high_area__normal_volume,long,44,conclusion_ok,0.6363636363636364,0.36363636363636365,0.5681818181818182,0.22727272727272727,0.20454545454545456,0.9318181818181818,0.8181818181818182,0.8409090909090909,3.797346407232058,1.2697596005203544,1.5422697253070334,1.4922697253070338,-1.05,0.1590909090909091,9.112680115298478,4.898513826636002,0.004618253834962413,0.5
phase2_simple_setup,bear__long_upper_bear__middle_area__shrinking_volume,long,58,conclusion_ok,0.5344827586206896,0.46551724137931033,0.7413793103448276,0.034482758620689655,0.22413793103448276,0.9827586206896551,0.8620689655172413,0.9482758620689655,-2.081062660611951,1.2149667279163872,1.0417932606901534,0.9917932606901537,-1.05,0.05172413793103448,12.619344703526322,16.12431791078002,0.001912549359324633,0.8793103448275862
phase2_core_setup,uptrend__kept_bull__long_lower_bear__middle_area__no_breakout,long,37,conclusion_ok,0.6486486486486487,0.35135135135135137,0.43243243243243246,0.3783783783783784,0.1891891891891892,0.9459459459459459,0.7567567567567568,0.8378378378378378,1.2190342449359794,0.6279069767442111,0.9305434843444331,0.8805434843444335,-1.05,0.16216216216216217,8.72760133938535,6.719993860272376,0.004297814092651167,0.4864864864864865
phase2_core_setup,uptrend__kept_bull__long_lower_bear__high_area__no_breakout,long,37,conclusion_ok,0.5405405405405406,0.4594594594594595,0.6486486486486487,0.21621621621621623,0.13513513513513514,0.8648648648648649,0.7567567567567568,0.8378378378378378,2.1110572732156574,0.21566975568665922,0.8543156411126887,0.8043156411126884,-1.05,0.16216216216216217,7.197372932853137,4.8957637666920135,0.004594995687945276,0.40540540540540543
phase2_core_setup,uptrend__kept_bull__long_upper_bull__high_area__no_breakout,long,46,conclusion_ok,0.5217391304347826,0.4782608695652174,0.6304347826086957,0.08695652173913043,0.2826086956521739,0.9347826086956522,0.8260869565217391,0.8695652173913043,1.510725347189908,0.83728158350087,0.6101329858276747,0.5601329858276745,-1.05,0.13043478260869565,9.775303617301494,8.257836373148212,0.0031058941425736604,0.6086956521739131
phase2_simple_setup,bear__long_lower_bear__middle_area__shrinking_volume,long,79,conclusion_ok,0.5949367088607594,0.4050632911392405,0.5443037974683544,0.27848101265822783,0.17721518987341772,0.8860759493670886,0.7721518987341772,0.9113924050632911,0.32607248147049256,0.991432068543487,0.6039346818956007,0.5539346818956011,-1.05,0.08860759493670886,7.998725876847491,8.360594983203,0.0036137172995165897,0.5569620253164557
recent_3day_bias,two_bullish,long,193,conclusion_ok,0.45077720207253885,0.5492227979274611,0.5854922279792746,0.25906735751295334,0.15025906735751296,0.8860103626943006,0.7668393782383419,0.844559585492228,0.490146501099753,-0.6420911528150455,0.5843722639851354,0.5343722639851357,-1.05,0.15025906735751296,8.363333579590977,7.801969294194768,0.004535140391092441,0.5440414507772021
phase2_simple_setup,bear__long_upper_bear__high_area__shrinking_volume,long,31,conclusion_ok,0.41935483870967744,0.5806451612903226,0.7741935483870968,0.06451612903225806,0.16129032258064516,0.9032258064516129,0.8387096774193549,0.9354838709677419,3.8290518966659985,-2.527196652719727,0.5770820864110496,0.5270820864110496,-1.05,0.06451612903225806,15.121052335517312,14.441615153307058,0.001821724086187922,0.8064516129032258
failed_up_breakout,True,long,74,conclusion_ok,0.47297297297297297,0.527027027027027,0.6351351351351351,0.20270270270270271,0.16216216216216217,0.8783783783783784,0.7702702702702703,0.8513513513513513,0.6043768807364325,-0.48927792768040623,0.5648889574452989,0.5148889574452988,-1.05,0.14864864864864866,7.3374900632302955,6.603262676968742,0.00501021316665335,0.527027027027027
breakout_type,failed_up_breakout,long,74,conclusion_ok,0.47297297297297297,0.527027027027027,0.6351351351351351,0.20270270270270271,0.16216216216216217,0.8783783783783784,0.7702702702702703,0.8513513513513513,0.6043768807364325,-0.48927792768040623,0.5648889574452989,0.5148889574452988,-1.05,0.14864864864864866,7.3374900632302955,6.603262676968742,0.00501021316665335,0.527027027027027
