trade_id,symbol,timeframe,direction,cross_time,entry_time,exit_time,entry_price,exit_price,ema15_at_entry,ma50_at_entry,atr_at_entry,stop_price,qty,gross_pnl,fee,slippage,net_pnl,r_multiple,exit_reason,bars_after_cross,pullback_index,pullback_depth_pct,ema15_slope_5,ema15_slope_10,ma50_slope_10,daily_filter_pass,max_r_before_exit,max_drawdown_r,holding_bars
T0001,BTC-USDT-SWAP,4H,short,2022-01-18 08:00,2022-01-19 12:00,2022-01-19 20:00,41701.4,42498.7,42216.21394165717250680947512,42725.374,664.3640217876000688102717489,42498.7,0.12,-95.676,2.58656904,0,-98.26256904,-1.027034669509594882729211087,止损,6,1,0.6888018398445060999096876669,-0.008140447979518178001643638491,-0.01672776618845756281248705297,0.001207806864370572859116458524,true,0.7116518249090681048538818512,1.084409883356327605669133325,2
T0002,BTC-USDT-SWAP,4H,short,2022-02-03 20:00,2022-02-04 08:00,2022-02-04 12:00,37320.7,38211,37377.22232947061392569495146,37522.708,741.9088193801358191390072043,38211,0.11,-97.933,2.12894715,0,-100.06194715,-1.021738812759743906548354487,止损,2,1,0.04274707839054227383841107775,-0.01136054685989521637229704289,-0.02300390120180889204694787649,0.0008256866748529983496926714351,true,0.3249466471975738515107267213,1.012355385825002808042232955,1
T0003,BTC-USDT-SWAP,4H,short,2022-02-13 04:00,2022-02-14 00:00,2022-02-14 20:00,42561.5,42530.8,42668.46726913071564209976998,43029.8,822.0243453077746558705395471,43548,0.1,3.07,2.1695313,0,0.9004687,0.009127913836796756208819057273,保本,4,1,0.3082668286152479674528920121,-0.005948428250147893977371339049,-0.01880930955023827021963522453,0.01486732450534280893706222199,true,1.033552965027876330461226559,0.2972123669538773441459706031,5
T0004,BTC-USDT-SWAP,4H,short,2022-04-03 08:00,2022-04-04 12:00,2022-04-05 04:00,46000,45966.8,46248.56101079326634375293971,46441.028,709.6348204700235207831399631,46851.6,0.11,3.652,2.57928528,0,1.07271472,0.01145132926256458431188351339,保本,6,1,0.4437737839212683174827583112,0.0006882435432621364264530481843,-0.001464394993363750209293137907,0.008024542436915909785631790924,true,1.087130108031939877876937529,1.049788633161108501643964302,4
T0005,BTC-USDT-SWAP,4H,short,2022-04-23 08:00,2022-04-25 00:00,2022-04-25 00:00,39660,39631.4,39897.41252932146041878502326,40454.936,541.6888842011743955733340886,40310.1,0.15,4.29,3.0324456,0,1.2575544,0.01289600984463928626365174589,保本,9,1,0.1819352837109261133510181991,-0.005856568249791775657699585681,-0.01715359861962674385793214781,-0.003003440667907619480599351337,true,1.163205660667589601599753884,0.2153514843870173819412398093,0
T0006,BTC-USDT-SWAP,4H,short,2022-05-21 00:00,2022-05-22 00:00,2022-05-22 16:00,29547.3,30318.7,29577.28758229445899533045785,29805.172,642.7758622445497322613908309,30318.7,0.12,-92.568,1.84161924,0,-94.40961924,-1.01989477184340160746694322,止损,5,1,0.2752531565953196640559215422,-0.006878169706167905713767812869,-0.006893333267852048218423533601,0.003437993915955257698227676727,true,0.3817733990147783251231527094,1.01464869069224786103189007,4
T0007,BTC-USDT-SWAP,4H,short,2022-05-24 04:00,2022-05-25 00:00,2022-05-25 08:00,29396.8,30092.8,29600.69783633168826426459913,29733.85,579.930441284418328599823875,30092.8,0.14,-97.44,2.13400992,0,-99.57400992,-1.021900758620689655172413793,止损,4,1,0.2601363119682936049194272593,-0.009193403248437796924351279673,-0.004177855917998749169471770067,-0.00266914644420416461373148785,true,0.455172413793103448275862069,1.208620689655172413793103448,2
T0008,BTC-USDT-SWAP,4H,short,2022-05-26 16:00,2022-05-27 04:00,2022-05-29 20:00,29388.4,29367.2,29531.41900036682386951763421,29614.432,637.3159954665474756297434501,30153.2,0.13,2.756,1.94745876,0,0.80854124,0.008132254184100418410041841004,保本,2,1,0.9094754289654688029773393372,-0.002955309755981749967535538646,-0.004433633997330690124137812678,-0.004071325764411081732041998982,true,1.464827405857740585774058577,0.4041579497907949790794979079,16
T0009,BTC-USDT-SWAP,4H,short,2022-06-04 12:00,2022-06-05 00:00,2022-06-06 08:00,29850.7,30414.7,29960.14895799875051261467687,30073.242,469.9919018483727209009195253,30414.7,0.17,-95.88,2.62257249,0,-98.50257249,-1.027352654255319148936170213,止损,2,1,0.1163246619704972057212041821,-0.007893738241400525672646903091,-0.01766566540831189748707444911,0.003075092469245583831633450095,true,0.6124113475177304964539007092,2.557624113475177304964539007,8
T0010,BTC-USDT-SWAP,4H,short,2022-06-07 12:00,2022-06-08 12:00,2022-06-12 20:00,30018,28221.1,30415.63141311984796062360835,30491.162,739.5901462185807550497116393,30905.6,0.11,197.659,1.61285256,0,196.04614744,2.007928913925191527715187021,2R,5,1,2.984875028727961813058606464,-0.001225542211884132008843647893,0.001724896067336253410570493153,0.004057569206447428930389730637,true,3.542023433979269941415051825,0.9936908517350157728706624606,26
