period,trades,win_rate,total_pnl,return_pct,start_equity,end_equity,max_drawdown,max_drawdown_pct
2022-01,1,0,-98.26256904,-0.9826256904,10000,9901.73743096,98.26256904,0.9826256904
2022-02,2,50,-99.16147845,-1.001455341968061343726285934,9901.73743096,9802.57595251,100.06194715,1.010549389414567882170353091
2022-04,2,100,2.33026912,0.02377200779967762049554017203,9802.57595251,9804.90622163,0,0
2022-05,3,33.33333333333333333333333333,-193.17508792,-1.970188021725779802979796264,9804.90622163,9611.73113371,193.98362916,1.978434314160646002376364087
2022-06,2,50,97.54357495,1.014838779747987824450824518,9611.73113371,9709.27470866,98.50257249,1.014520398749687589622704307
2022-07,2,0,-200.43227574,-2.064338292552669293257701723,9709.27470866,9508.84243292,200.43227574,2.064338292552669293257701723
2022-08,1,100,0.88708968,0.009329102740506661229606740808,9508.84243292,9509.7295226,0,0
2022-10,3,66.66666666666666666666666667,100.53266272,1.057155857914599738208121053,9509.7295226,9610.26218532,101.95352048,1.060881779435086018996137562
2022-11,2,50,94.11927443,0.9793621923631841162347831494,9610.26218532,9704.38145975,100.76012595,1.0382951903520467957355019
2022-12,1,100,2.73302799,0.02816282522833152380090826324,9704.38145975,9707.11448774,0,0
2023-02,2,100,97.41899651,1.003583470999948888463134268,9707.11448774,9804.53348425,0,0
2023-03,1,0,-98.93628135,-1.009087087202376494856938353,9804.53348425,9705.5972029,98.93628135,1.009087087202376494856938353
2023-04,2,50,185.83710604,1.914741588332889952803174145,9705.5972029,9891.43430894,102.01801176,1.031377336932772895010889403
2023-05,3,33.33333333333333333333333333,-198.77831543,-2.009600521234233071756434387,9891.43430894,9692.65599351,198.77831543,2.009600521234233071756434387
2023-06,1,0,-102.9413028,-1.06205464084279217369003101,9692.65599351,9589.71469071,102.9413028,1.06205464084279217369003101
2023-07,2,50,0.28499715,0.002971904370378087640168527034,9589.71469071,9589.99968786,99.13805475,1.033764942406609918957165808
2023-08,2,100,105.16774398,1.096639701804495987617870446,9589.99968786,9695.16743184,0,0
2023-09,1,100,298.10781988,3.074808372065664532355495098,9695.16743184,9993.27525172,0,0
2023-10,1,100,198.7581162,1.988918659733610350146033474,9993.27525172,10192.03336792,0,0
2023-11,2,0,-197.28355418,-1.93566432779705290562817987,10192.03336792,9994.74981374,197.28355418,1.93566432779705290562817987
2024-02,2,50,-97.94042369,-0.9799187124760158468978925579,9994.74981374,9896.80939005,99.13685915,0.9918893518846705202269922807
2024-03,1,100,186.2915242,1.882339215174667826884485103,9896.80939005,10083.10091425,0,0
2024-04,1,100,1.07461288,0.01065756347317021497893811978,10083.10091425,10084.17552713,0,0
2024-05,1,100,1.15460192,0.01144964124130636492030095269,10084.17552713,10085.33012905,0,0
2024-06,1,100,398.08113392,3.947130424351292296579856993,10085.33012905,10483.41126297,0,0
2024-08,2,50,89.0417898,0.849358930661411825213046815,10483.41126297,10572.45305277,97.87014492,0.9172181864293270901720901555
2024-09,1,100,91.85773646,0.8688403344192020104226247125,10572.45305277,10664.31078923,0,0
2024-11,1,100,1.30874733,0.0122722167036028032770577346,10664.31078923,10665.61953656,0,0
2024-12,2,50,-13.25567331,-0.1242841380621324351997029492,10665.61953656,10652.36386325,93.39963648,0.8757075588515164682547092478
2025-01,2,50,-91.72643891,-0.8610899898608474244281255588,10652.36386325,10560.63742434,92.72296316,0.8703635265056408005609675992
2025-02,2,50,177.91944219,1.684741507931461759774861768,10560.63742434,10738.55686653,97.17847002,0.9049490655759010994135915783
2025-05,2,50,-93.37317799,-0.8695132795825302622950471007,10738.55686653,10645.18368854,95.16692848,0.8860691040122194753783944939
2025-06,2,50,85.39379472,0.8021824443661794969716132785,10645.18368854,10730.57748326,92.37487416,0.853509015926413378492423348
2025-07,3,66.66666666666666666666666667,-93.98424182,-0.8758544632534272936253778415,10730.57748326,10636.59324144,97.71656586,0.9104885867192585514182030452
2025-08,1,100,95.78371104,0.9005111774588518442263242309,10636.59324144,10732.37695248,0,0
2025-10,2,50,662.4968959,6.172881355484933301601689029,10732.37695248,11394.87384838,88.3856558,0.7696913560807965831985483113
2025-11,2,100,362.94284529,3.185141407612856467062408723,11394.87384838,11757.81669367,0,0
2025-12,3,33.33333333333333333333333333,-9.49314631,-0.0807390228758267693358396589,11757.81669367,11748.32354736,103.39110136,0.8723725167578715558638661277
2026-01,1,0,-103.73739134,-0.882997398920896516605653647,11748.32354736,11644.58615602,103.73739134,0.882997398920896516605653647
2026-02,1,100,1.00763138,0.008653217611164964414024015291,11644.58615602,11645.5937874,0,0
2026-03,2,50,-3.73636431,-0.03208393129805519529244575409,11645.5937874,11641.85742309,99.41081325,0.8536345596869260073329423264
2026-04,1,0,-101.27307762,-0.8699048093402946124673024597,11641.85742309,11540.58434547,101.27307762,0.8699048093402946124673024597
2026-05,1,0,-95.36152536,-0.8263145305760193004013152446,11540.58434547,11445.22282011,95.36152536,0.8263145305760193004013152446
2026-06,1,0,-93.53273796,-0.8172207691374684582501538812,11445.22282011,11351.69008215,93.53273796,0.8172207691374684582501538812
