mode,symbol,bar,bar_label,direction,entry_reference_ema,max_entries_per_trend,stop_atr,take_ratio,take_atr,total_trades,win_rate,total_pnl,total_return_pct,average_r_multiple,max_drawdown,max_drawdown_pct,profit_factor,profit_loss_ratio,ending_equity,total_fees,maker_fees,taker_fees,take_profit_hits,stop_loss_hits,data_source_note,two_r_break_even_enabled,fee_offset_enabled,entry_slippage_pct,exit_slippage_pct,max_entries_label,param_label
fixed,BNB-USDT-SWAP,15m,15分钟,做空,55,1,2,3,6,85,31.76,1050.8031,10.51,0.1276,1550.5858,13.40,1.1621,2.4965,11050.80,769.4969,226.5154,542.9816,27,58,本次命中本地缓存 9960 根 | 补拉最新 40 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA55挂单 | SL x2 | TP x6 | 每波开仓1
fixed,SOL-USDT-SWAP,15m,15分钟,做多,21,0,2,3,6,107,28.04,296.8798,2.97,0.0277,3124.8069,26.87,1.0352,2.6571,10296.88,625.5628,183.8914,441.6714,30,77,本次命中本地缓存 9960 根 | 补拉最新 40 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA21挂单 | SL x2 | TP x6 | 每波开仓不限(0)
fixed,SOL-USDT-SWAP,15m,15分钟,做空,21,1,2,2,4,113,41.59,1722.0334,17.22,0.1524,1709.7418,14.24,1.2384,1.7391,11722.03,654.5381,192.7629,461.7753,47,66,本次命中本地缓存 9960 根 | 补拉最新 40 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA21挂单 | SL x2 | TP x4 | 每波开仓1
fixed,DOGE-USDT-SWAP,15m,15分钟,做多,21,2,1.5,3,4.5,126,24.60,-1580.9883,-15.81,-0.1255,3871.3505,37.87,0.8499,2.6046,8419.01,868.9836,255.6588,613.3248,31,95,本次命中本地缓存 9960 根 | 补拉最新 40 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,2,EMA21挂单 | SL x1.5 | TP x4.5 | 每波开仓2
fixed,DOGE-USDT-SWAP,15m,15分钟,做空,21,2,2,2,4,150,40.00,1649.8003,16.50,0.1100,972.3329,7.96,1.1677,1.7515,11649.80,837.6703,246.6370,591.0333,60,90,本次命中本地缓存 9960 根 | 补拉最新 40 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,2,EMA21挂单 | SL x2 | TP x4 | 每波开仓2
fixed,BTC-USDT-SWAP,1H,1小时,做多,55,2,2,3,6,100,27.00,65.2051,0.65,0.0053,1296.9036,12.56,1.0088,2.7274,10065.21,448.1699,131.7603,316.4096,27,73,本次命中本地缓存 9990 根 | 补拉最新 10 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,2,EMA55挂单 | SL x2 | TP x6 | 每波开仓2
fixed,BTC-USDT-SWAP,1H,1小时,做空,21,2,2,3,6,118,27.97,633.1248,6.33,0.0504,1464.6841,12.75,1.0747,2.7681,10633.12,479.6102,141.1796,338.4305,33,85,本次命中本地缓存 9990 根 | 补拉最新 10 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,2,EMA21挂单 | SL x2 | TP x6 | 每波开仓2
fixed,ETH-USDT-SWAP,1H,1小时,做多,55,2,2,3,6,106,33.02,2904.4769,29.04,0.2750,827.1228,6.36,1.3932,2.8263,12904.48,304.0430,89.0847,214.9583,35,71,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,2,EMA55挂单 | SL x2 | TP x6 | 每波开仓2
fixed,ETH-USDT-SWAP,1H,1小时,做空,21,2,2,2,4,123,36.59,677.9608,6.78,0.0557,1541.8523,14.03,1.0836,1.8783,10677.96,322.5577,94.9758,227.5818,45,78,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,2,EMA21挂单 | SL x2 | TP x4 | 每波开仓2
fixed,BNB-USDT-SWAP,1H,1小时,做多,55,1,2,3,6,96,33.33,2412.0608,24.12,0.2654,1391.0865,10.35,1.3738,2.7475,12412.06,396.4392,116.3024,280.1368,32,64,本次命中本地缓存 9990 根 | 补拉最新 10 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA55挂单 | SL x2 | TP x6 | 每波开仓1
