mode,symbol,bar,bar_label,direction,entry_reference_ema,max_entries_per_trend,stop_atr,take_ratio,take_atr,total_trades,win_rate,total_pnl,total_return_pct,average_r_multiple,max_drawdown,max_drawdown_pct,profit_factor,profit_loss_ratio,ending_equity,total_fees,maker_fees,taker_fees,take_profit_hits,stop_loss_hits,data_source_note,two_r_break_even_enabled,fee_offset_enabled,entry_slippage_pct,exit_slippage_pct,max_entries_label,param_label
dynamic,BNB-USDT-SWAP,15m,15分钟,做多,55,0,2,-,-,103,26.21,1347.5419,13.48,0.1294,1612.9106,13.12,1.1802,3.3221,11347.54,1006.1581,295.6796,710.4785,0,103,本次命中本地缓存 9960 根 | 补拉最新 40 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA55挂单 | SL x2 | 动态止盈 | 每波开仓不限(0)
dynamic,BNB-USDT-SWAP,15m,15分钟,做空,55,0,2,-,-,95,25.26,2688.6564,26.89,0.2878,1684.6486,12.79,1.4075,4.1638,12688.66,832.0436,245.0915,586.9521,0,95,本次命中本地缓存 9960 根 | 补拉最新 40 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA55挂单 | SL x2 | 动态止盈 | 每波开仓不限(0)
dynamic,SOL-USDT-SWAP,15m,15分钟,做多,21,0,2,-,-,112,25.00,262.2467,2.62,0.0234,2683.6251,24.51,1.0328,3.0983,10262.25,648.3257,190.5876,457.7381,0,112,本次命中本地缓存 9960 根 | 补拉最新 40 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA21挂单 | SL x2 | 动态止盈 | 每波开仓不限(0)
dynamic,SOL-USDT-SWAP,15m,15分钟,做空,21,0,2,-,-,117,27.35,3355.6794,33.56,0.2868,2024.1029,15.03,1.4345,3.8103,13355.68,605.7773,178.5892,427.1880,0,117,本次命中本地缓存 9960 根 | 补拉最新 40 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA21挂单 | SL x2 | 动态止盈 | 每波开仓不限(0)
dynamic,DOGE-USDT-SWAP,15m,15分钟,做多,21,0,1.5,-,-,134,22.39,-382.4847,-3.82,-0.0285,3959.6071,37.63,0.9637,3.3409,9617.52,910.9216,267.8622,643.0595,0,134,本次命中本地缓存 9960 根 | 补拉最新 40 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA21挂单 | SL x1.5 | 动态止盈 | 每波开仓不限(0)
dynamic,DOGE-USDT-SWAP,15m,15分钟,做空,55,0,1,-,-,211,26.07,1533.4994,15.33,0.0727,1955.3044,14.71,1.0942,3.1035,11533.50,2479.2083,729.6038,1749.6045,0,211,本次命中本地缓存 9960 根 | 补拉最新 40 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA55挂单 | SL x1 | 动态止盈 | 每波开仓不限(0)
dynamic,BTC-USDT-SWAP,1H,1小时,做多,21,0,2,-,-,119,22.69,228.6951,2.29,0.0151,2242.6116,18.42,1.0276,3.5015,10228.70,518.5669,152.4406,366.1264,0,119,本次命中本地缓存 9990 根 | 补拉最新 10 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA21挂单 | SL x2 | 动态止盈 | 每波开仓不限(0)
dynamic,BTC-USDT-SWAP,1H,1小时,做空,21,0,1.5,-,-,180,25.00,942.7209,9.43,0.0438,1521.5674,12.55,1.0734,3.2203,10942.72,944.9211,278.1178,666.8032,0,180,本次命中本地缓存 9990 根 | 补拉最新 10 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA21挂单 | SL x1.5 | 动态止盈 | 每波开仓不限(0)
dynamic,ETH-USDT-SWAP,1H,1小时,做多,55,0,2,-,-,116,27.59,4040.3941,40.40,0.3495,827.1306,5.79,1.5317,4.0207,14040.39,336.5352,98.5175,238.0177,0,116,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA55挂单 | SL x2 | 动态止盈 | 每波开仓不限(0)
dynamic,ETH-USDT-SWAP,1H,1小时,做空,21,0,2,-,-,103,20.39,590.7300,5.91,0.0584,2641.4036,23.74,1.0824,4.2264,10590.73,268.5249,79.0689,189.4560,0,103,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA21挂单 | SL x2 | 动态止盈 | 每波开仓不限(0)
