symbol,bar,bar_label,direction,max_entries_per_trend,max_entries_label,dynamic_param,dynamic_max_entries_per_trend,dynamic_max_entries_label,dynamic_pnl,dynamic_max_drawdown,fixed_param,fixed_max_entries_per_trend,fixed_max_entries_label,fixed_pnl,fixed_max_drawdown,winner,pnl_gap
BTC-USDT-SWAP,1H,1小时,做多,0,不限(0),EMA21挂单 | SL x2 | 动态止盈 | 每波开仓不限(0),0,不限(0),228.6951,2242.6116,EMA55挂单 | SL x2 | TP x6 | 每波开仓不限(0),0,不限(0),-139.3045,1400.9421,dynamic,367.9996
BTC-USDT-SWAP,1H,1小时,做空,0,不限(0),EMA21挂单 | SL x1.5 | 动态止盈 | 每波开仓不限(0),0,不限(0),942.7209,1521.5674,EMA21挂单 | SL x1.5 | TP x4.5 | 每波开仓不限(0),0,不限(0),172.9092,2011.9648,dynamic,769.8117
ETH-USDT-SWAP,1H,1小时,做多,0,不限(0),EMA55挂单 | SL x2 | 动态止盈 | 每波开仓不限(0),0,不限(0),4040.3941,827.1306,EMA55挂单 | SL x2 | TP x6 | 每波开仓不限(0),0,不限(0),2489.1091,827.1228,dynamic,1551.2850
ETH-USDT-SWAP,1H,1小时,做空,0,不限(0),EMA21挂单 | SL x2 | 动态止盈 | 每波开仓不限(0),0,不限(0),590.7300,2641.4036,EMA21挂单 | SL x1.5 | TP x4.5 | 每波开仓不限(0),0,不限(0),-90.0116,2520.8457,dynamic,680.7416
BNB-USDT-SWAP,1H,1小时,做多,0,不限(0),EMA21挂单 | SL x2 | 动态止盈 | 每波开仓不限(0),0,不限(0),3048.7392,1299.0965,EMA55挂单 | SL x2 | TP x6 | 每波开仓不限(0),0,不限(0),1712.7998,1232.3622,dynamic,1335.9394
BNB-USDT-SWAP,1H,1小时,做空,0,不限(0),EMA55挂单 | SL x1 | 动态止盈 | 每波开仓不限(0),0,不限(0),318.9874,3549.6883,EMA55挂单 | SL x2 | TP x2 | 每波开仓不限(0),0,不限(0),-399.4274,1366.7517,dynamic,718.4148
SOL-USDT-SWAP,1H,1小时,做多,0,不限(0),EMA55挂单 | SL x1 | 动态止盈 | 每波开仓不限(0),0,不限(0),2098.2343,1304.8113,EMA55挂单 | SL x2 | TP x6 | 每波开仓不限(0),0,不限(0),794.8146,858.5057,dynamic,1303.4197
SOL-USDT-SWAP,1H,1小时,做空,0,不限(0),EMA21挂单 | SL x1 | 动态止盈 | 每波开仓不限(0),0,不限(0),4480.9809,2777.1826,EMA55挂单 | SL x1 | TP x3 | 每波开仓不限(0),0,不限(0),1630.4188,1821.3643,dynamic,2850.5621
DOGE-USDT-SWAP,1H,1小时,做多,0,不限(0),EMA21挂单 | SL x2 | 动态止盈 | 每波开仓不限(0),0,不限(0),-97.3681,1854.8633,EMA55挂单 | SL x2 | TP x4 | 每波开仓不限(0),0,不限(0),-700.9918,1265.0479,dynamic,603.6237
DOGE-USDT-SWAP,1H,1小时,做空,0,不限(0),EMA55挂单 | SL x2 | 动态止盈 | 每波开仓不限(0),0,不限(0),5174.8745,2030.7677,EMA55挂单 | SL x2 | TP x6 | 每波开仓不限(0),0,不限(0),1351.9772,2189.4346,dynamic,3822.8973
BTC-USDT-SWAP,4H,4小时,做多,0,不限(0),EMA21挂单 | SL x1.5 | 动态止盈 | 每波开仓不限(0),0,不限(0),2436.7859,1402.6720,EMA55挂单 | SL x1.5 | TP x4.5 | 每波开仓不限(0),0,不限(0),681.5310,1280.7062,dynamic,1755.2549
BTC-USDT-SWAP,4H,4小时,做空,0,不限(0),EMA55挂单 | SL x1 | 动态止盈 | 每波开仓不限(0),0,不限(0),2284.9861,1098.1134,EMA55挂单 | SL x1 | TP x3 | 每波开仓不限(0),0,不限(0),920.1842,1291.1564,dynamic,1364.8019
ETH-USDT-SWAP,4H,4小时,做多,0,不限(0),EMA21挂单 | SL x1 | 动态止盈 | 每波开仓不限(0),0,不限(0),2320.2072,2016.8048,EMA55挂单 | SL x1.5 | TP x4.5 | 每波开仓不限(0),0,不限(0),-290.5714,2851.5468,dynamic,2610.7786
ETH-USDT-SWAP,4H,4小时,做空,0,不限(0),EMA55挂单 | SL x2 | 动态止盈 | 每波开仓不限(0),0,不限(0),2709.2242,1289.5840,EMA55挂单 | SL x2 | TP x6 | 每波开仓不限(0),0,不限(0),653.6613,1706.6846,dynamic,2055.5628
BNB-USDT-SWAP,4H,4小时,做多,0,不限(0),EMA21挂单 | SL x1 | 动态止盈 | 每波开仓不限(0),0,不限(0),3571.9378,1270.5276,EMA21挂单 | SL x1 | TP x3 | 每波开仓不限(0),0,不限(0),2746.6101,1121.6811,dynamic,825.3277
BNB-USDT-SWAP,4H,4小时,做空,0,不限(0),EMA55挂单 | SL x1 | 动态止盈 | 每波开仓不限(0),0,不限(0),1994.4700,1907.7258,EMA55挂单 | SL x2 | TP x4 | 每波开仓不限(0),0,不限(0),-239.2062,1804.6028,dynamic,2233.6763
SOL-USDT-SWAP,4H,4小时,做多,0,不限(0),EMA21挂单 | SL x2 | 动态止盈 | 每波开仓不限(0),0,不限(0),2476.6141,821.7426,EMA21挂单 | SL x1 | TP x3 | 每波开仓不限(0),0,不限(0),2526.2494,2368.1499,fixed,49.6353
SOL-USDT-SWAP,4H,4小时,做空,0,不限(0),EMA21挂单 | SL x1 | 动态止盈 | 每波开仓不限(0),0,不限(0),5446.1441,1398.7329,EMA55挂单 | SL x1.5 | TP x4.5 | 每波开仓不限(0),0,不限(0),3229.7126,1024.1986,dynamic,2216.4315
DOGE-USDT-SWAP,4H,4小时,做多,0,不限(0),EMA21挂单 | SL x1 | 动态止盈 | 每波开仓不限(0),0,不限(0),1237.9696,2338.8093,EMA21挂单 | SL x1.5 | TP x4.5 | 每波开仓不限(0),0,不限(0),493.6623,2373.9693,dynamic,744.3073
DOGE-USDT-SWAP,4H,4小时,做空,0,不限(0),EMA21挂单 | SL x1 | 动态止盈 | 每波开仓不限(0),0,不限(0),8428.0875,1540.7511,EMA55挂单 | SL x1 | TP x2 | 每波开仓不限(0),0,不限(0),3419.0277,777.0577,dynamic,5009.0597
BTC-USDT-SWAP,5m,5分钟,做多,1,1,EMA21挂单 | SL x1 | 动态止盈 | 每波开仓1,1,1,2304.6676,3064.6117,EMA21挂单 | SL x2 | TP x6 | 每波开仓1,1,1,766.4532,1575.9487,dynamic,1538.2144
BTC-USDT-SWAP,5m,5分钟,做空,1,1,EMA21挂单 | SL x2 | 动态止盈 | 每波开仓1,1,1,-2160.1743,3940.5524,EMA21挂单 | SL x2 | TP x6 | 每波开仓1,1,1,-2013.8840,3081.3771,fixed,146.2903
ETH-USDT-SWAP,5m,5分钟,做多,1,1,EMA21挂单 | SL x2 | 动态止盈 | 每波开仓1,1,1,-1566.6099,2922.8646,EMA21挂单 | SL x2 | TP x4 | 每波开仓1,1,1,-1484.8420,2217.7290,fixed,81.7679
ETH-USDT-SWAP,5m,5分钟,做空,1,1,EMA55挂单 | SL x2 | 动态止盈 | 每波开仓1,1,1,-1956.4068,2585.0013,EMA55挂单 | SL x2 | TP x6 | 每波开仓1,1,1,-2628.3240,2906.8831,dynamic,671.9172
BNB-USDT-SWAP,5m,5分钟,做多,1,1,EMA21挂单 | SL x2 | 动态止盈 | 每波开仓1,1,1,-4429.3818,5074.1990,EMA21挂单 | SL x2 | TP x4 | 每波开仓1,1,1,-2319.7347,3181.3659,fixed,2109.6471
BNB-USDT-SWAP,5m,5分钟,做空,1,1,EMA55挂单 | SL x2 | 动态止盈 | 每波开仓1,1,1,-4160.6419,5675.8744,EMA21挂单 | SL x2 | TP x6 | 每波开仓1,1,1,-5017.7255,5678.9505,dynamic,857.0836
SOL-USDT-SWAP,5m,5分钟,做多,1,1,EMA21挂单 | SL x2 | 动态止盈 | 每波开仓1,1,1,-2049.4889,4600.4483,EMA55挂单 | SL x2 | TP x6 | 每波开仓1,1,1,-1648.8603,3629.5341,fixed,400.6286
SOL-USDT-SWAP,5m,5分钟,做空,1,1,EMA21挂单 | SL x2 | 动态止盈 | 每波开仓1,1,1,525.7337,1803.1721,EMA21挂单 | SL x2 | TP x6 | 每波开仓1,1,1,-1501.0793,2384.4522,dynamic,2026.8130
DOGE-USDT-SWAP,5m,5分钟,做多,1,1,EMA21挂单 | SL x1.5 | 动态止盈 | 每波开仓1,1,1,-1019.5957,3476.8416,EMA21挂单 | SL x2 | TP x4 | 每波开仓1,1,1,-568.4780,1512.3291,fixed,451.1177
DOGE-USDT-SWAP,5m,5分钟,做空,1,1,EMA21挂单 | SL x2 | 动态止盈 | 每波开仓1,1,1,200.7134,2401.6809,EMA21挂单 | SL x2 | TP x6 | 每波开仓1,1,1,-1446.2363,2170.1926,dynamic,1646.9497
BTC-USDT-SWAP,15m,15分钟,做多,1,1,EMA21挂单 | SL x2 | 动态止盈 | 每波开仓1,1,1,-942.6094,2809.6676,EMA21挂单 | SL x2 | TP x4 | 每波开仓1,1,1,-1547.0985,2122.6354,dynamic,604.4891
BTC-USDT-SWAP,15m,15分钟,做空,1,1,EMA55挂单 | SL x2 | 动态止盈 | 每波开仓1,1,1,3005.4845,738.2577,EMA21挂单 | SL x2 | TP x6 | 每波开仓1,1,1,1101.0449,954.8830,dynamic,1904.4396
ETH-USDT-SWAP,15m,15分钟,做多,1,1,EMA21挂单 | SL x2 | 动态止盈 | 每波开仓1,1,1,63.9465,1910.3103,EMA21挂单 | SL x2 | TP x6 | 每波开仓1,1,1,684.9800,1570.5058,fixed,621.0335
ETH-USDT-SWAP,15m,15分钟,做空,1,1,EMA21挂单 | SL x2 | 动态止盈 | 每波开仓1,1,1,2900.0830,1284.3438,EMA21挂单 | SL x2 | TP x6 | 每波开仓1,1,1,1093.2087,1256.4115,dynamic,1806.8743
BNB-USDT-SWAP,15m,15分钟,做多,1,1,EMA55挂单 | SL x2 | 动态止盈 | 每波开仓1,1,1,1535.5575,1250.3743,EMA55挂单 | SL x2 | TP x4 | 每波开仓1,1,1,1689.3920,1089.3894,fixed,153.8345
BNB-USDT-SWAP,15m,15分钟,做空,1,1,EMA55挂单 | SL x1 | 动态止盈 | 每波开仓1,1,1,1998.8233,4519.2867,EMA55挂单 | SL x2 | TP x6 | 每波开仓1,1,1,1050.8031,1550.5858,dynamic,948.0202
SOL-USDT-SWAP,15m,15分钟,做多,1,1,EMA21挂单 | SL x2 | 动态止盈 | 每波开仓1,1,1,-1882.5044,3107.5518,EMA55挂单 | SL x2 | TP x4 | 每波开仓1,1,1,-1530.5286,3324.4758,fixed,351.9757
SOL-USDT-SWAP,15m,15分钟,做空,1,1,EMA55挂单 | SL x2 | 动态止盈 | 每波开仓1,1,1,2973.0569,1893.5958,EMA21挂单 | SL x2 | TP x4 | 每波开仓1,1,1,1722.0334,1709.7418,dynamic,1251.0235
DOGE-USDT-SWAP,15m,15分钟,做多,1,1,EMA21挂单 | SL x1.5 | 动态止盈 | 每波开仓1,1,1,-1262.5087,4611.2082,EMA21挂单 | SL x1.5 | TP x4.5 | 每波开仓1,1,1,-2018.9205,4160.9391,dynamic,756.4118
DOGE-USDT-SWAP,15m,15分钟,做空,1,1,EMA21挂单 | SL x2 | 动态止盈 | 每波开仓1,1,1,1489.5229,1140.7943,EMA21挂单 | SL x2 | TP x4 | 每波开仓1,1,1,1231.7172,1247.5736,dynamic,257.8057
BTC-USDT-SWAP,1H,1小时,做多,1,1,EMA55挂单 | SL x2 | 动态止盈 | 每波开仓1,1,1,-347.4982,1120.6600,EMA55挂单 | SL x2 | TP x6 | 每波开仓1,1,1,-457.8107,1191.3800,dynamic,110.3124
BTC-USDT-SWAP,1H,1小时,做空,1,1,EMA21挂单 | SL x1 | 动态止盈 | 每波开仓1,1,1,1906.4385,1559.5271,EMA21挂单 | SL x1.5 | TP x4.5 | 每波开仓1,1,1,58.1696,1314.2534,dynamic,1848.2689
ETH-USDT-SWAP,1H,1小时,做多,1,1,EMA55挂单 | SL x2 | 动态止盈 | 每波开仓1,1,1,4980.3809,827.5999,EMA55挂单 | SL x1.5 | TP x4.5 | 每波开仓1,1,1,2868.6346,863.7053,dynamic,2111.7463
ETH-USDT-SWAP,1H,1小时,做空,1,1,EMA21挂单 | SL x2 | 动态止盈 | 每波开仓1,1,1,-182.9536,2438.4038,EMA21挂单 | SL x1.5 | TP x4.5 | 每波开仓1,1,1,-523.3923,2090.5382,dynamic,340.4387
BNB-USDT-SWAP,1H,1小时,做多,1,1,EMA21挂单 | SL x2 | 动态止盈 | 每波开仓1,1,1,3774.7552,995.3986,EMA55挂单 | SL x2 | TP x6 | 每波开仓1,1,1,2412.0608,1391.0865,dynamic,1362.6943
BNB-USDT-SWAP,1H,1小时,做空,1,1,EMA55挂单 | SL x1.5 | 动态止盈 | 每波开仓1,1,1,1214.9143,2797.5580,EMA55挂单 | SL x1.5 | TP x4.5 | 每波开仓1,1,1,-881.1700,2259.9669,dynamic,2096.0843
SOL-USDT-SWAP,1H,1小时,做多,1,1,EMA21挂单 | SL x1 | 动态止盈 | 每波开仓1,1,1,2199.3952,1651.5523,EMA21挂单 | SL x1 | TP x2 | 每波开仓1,1,1,2740.8407,1034.1930,fixed,541.4455
SOL-USDT-SWAP,1H,1小时,做空,1,1,EMA21挂单 | SL x1.5 | 动态止盈 | 每波开仓1,1,1,4633.7773,1230.2131,EMA21挂单 | SL x1 | TP x3 | 每波开仓1,1,1,2671.1986,2187.8278,dynamic,1962.5787
DOGE-USDT-SWAP,1H,1小时,做多,1,1,EMA21挂单 | SL x1.5 | 动态止盈 | 每波开仓1,1,1,-411.1283,1814.9003,EMA55挂单 | SL x1 | TP x3 | 每波开仓1,1,1,816.1857,1905.1300,fixed,1227.3140
DOGE-USDT-SWAP,1H,1小时,做空,1,1,EMA55挂单 | SL x2 | 动态止盈 | 每波开仓1,1,1,5801.3692,1822.6541,EMA55挂单 | SL x2 | TP x6 | 每波开仓1,1,1,1674.6555,1982.4777,dynamic,4126.7137
BTC-USDT-SWAP,4H,4小时,做多,1,1,EMA21挂单 | SL x1.5 | 动态止盈 | 每波开仓1,1,1,5722.4563,1088.0567,EMA21挂单 | SL x1 | TP x3 | 每波开仓1,1,1,4176.7647,1251.0443,dynamic,1545.6916
BTC-USDT-SWAP,4H,4小时,做空,1,1,EMA55挂单 | SL x1 | 动态止盈 | 每波开仓1,1,1,2692.9677,1304.2114,EMA21挂单 | SL x2 | TP x6 | 每波开仓1,1,1,1796.5532,842.0864,dynamic,896.4145
ETH-USDT-SWAP,4H,4小时,做多,1,1,EMA21挂单 | SL x1 | 动态止盈 | 每波开仓1,1,1,2675.6393,1396.7988,EMA55挂单 | SL x1 | TP x2 | 每波开仓1,1,1,42.7588,1934.8016,dynamic,2632.8806
ETH-USDT-SWAP,4H,4小时,做空,1,1,EMA55挂单 | SL x2 | 动态止盈 | 每波开仓1,1,1,1813.5899,1480.8792,EMA55挂单 | SL x2 | TP x6 | 每波开仓1,1,1,-131.8620,1893.7656,dynamic,1945.4519
BNB-USDT-SWAP,4H,4小时,做多,1,1,EMA21挂单 | SL x1 | 动态止盈 | 每波开仓1,1,1,2944.9703,1204.3050,EMA21挂单 | SL x1 | TP x3 | 每波开仓1,1,1,2402.4871,1301.0435,dynamic,542.4833
BNB-USDT-SWAP,4H,4小时,做空,1,1,EMA55挂单 | SL x1 | 动态止盈 | 每波开仓1,1,1,2227.3376,1611.2154,EMA21挂单 | SL x1.5 | TP x4.5 | 每波开仓1,1,1,719.9038,1493.0009,dynamic,1507.4338
SOL-USDT-SWAP,4H,4小时,做多,1,1,EMA21挂单 | SL x2 | 动态止盈 | 每波开仓1,1,1,1794.1023,714.8540,EMA21挂单 | SL x2 | TP x6 | 每波开仓1,1,1,1961.1935,712.5530,fixed,167.0912
SOL-USDT-SWAP,4H,4小时,做空,1,1,EMA21挂单 | SL x1 | 动态止盈 | 每波开仓1,1,1,5813.1015,872.0899,EMA21挂单 | SL x1.5 | TP x4.5 | 每波开仓1,1,1,4068.1337,1030.3546,dynamic,1744.9678
DOGE-USDT-SWAP,4H,4小时,做多,1,1,EMA21挂单 | SL x2 | 动态止盈 | 每波开仓1,1,1,478.7855,1838.1457,EMA21挂单 | SL x1.5 | TP x3 | 每波开仓1,1,1,517.1624,1960.4439,fixed,38.3769
