mode,symbol,bar,bar_label,direction,entry_reference_ema,max_entries_per_trend,stop_atr,take_ratio,take_atr,total_trades,win_rate,total_pnl,total_return_pct,average_r_multiple,max_drawdown,max_drawdown_pct,profit_factor,profit_loss_ratio,ending_equity,total_fees,maker_fees,taker_fees,take_profit_hits,stop_loss_hits,data_source_note,two_r_break_even_enabled,fee_offset_enabled,entry_slippage_pct,exit_slippage_pct,max_entries_label,param_label
dynamic,BNB-USDT-SWAP,15m,15分钟,做空,55,2,2,-,-,92,26.09,2898.5679,28.99,0.3209,1684.6486,12.59,1.4537,4.1189,12898.57,814.9321,240.0791,574.8530,0,92,本次命中本地缓存 9960 根 | 补拉最新 40 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,2,EMA55挂单 | SL x2 | 动态止盈 | 每波开仓2
dynamic,SOL-USDT-SWAP,15m,15分钟,做多,21,2,2,-,-,106,25.47,394.3390,3.94,0.0372,2683.6251,24.26,1.0528,3.0803,10394.34,624.2850,183.5054,440.7797,0,106,本次命中本地缓存 9960 根 | 补拉最新 40 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,2,EMA21挂单 | SL x2 | 动态止盈 | 每波开仓2
dynamic,SOL-USDT-SWAP,15m,15分钟,做空,21,2,2,-,-,110,28.18,3611.2784,36.11,0.3283,2024.1029,14.75,1.5109,3.8503,13611.28,570.0660,168.1092,401.9568,0,110,本次命中本地缓存 9960 根 | 补拉最新 40 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,2,EMA21挂单 | SL x2 | 动态止盈 | 每波开仓2
dynamic,DOGE-USDT-SWAP,15m,15分钟,做多,21,0,1.5,-,-,134,22.39,-382.4847,-3.82,-0.0285,3959.6071,37.63,0.9637,3.3409,9617.52,910.9216,267.8622,643.0595,0,134,本次命中本地缓存 9960 根 | 补拉最新 40 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA21挂单 | SL x1.5 | 动态止盈 | 每波开仓不限(0)
dynamic,DOGE-USDT-SWAP,15m,15分钟,做空,55,0,1,-,-,211,26.07,1533.4994,15.33,0.0727,1955.3044,14.71,1.0942,3.1035,11533.50,2479.2083,729.6038,1749.6045,0,211,本次命中本地缓存 9960 根 | 补拉最新 40 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA55挂单 | SL x1 | 动态止盈 | 每波开仓不限(0)
dynamic,BTC-USDT-SWAP,1H,1小时,做多,21,0,2,-,-,119,22.69,228.6951,2.29,0.0151,2242.6116,18.42,1.0276,3.5015,10228.70,518.5669,152.4406,366.1264,0,119,本次命中本地缓存 9990 根 | 补拉最新 10 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA21挂单 | SL x2 | 动态止盈 | 每波开仓不限(0)
dynamic,BTC-USDT-SWAP,1H,1小时,做空,21,2,1,-,-,210,22.86,3048.7373,30.49,0.1490,1885.4507,13.50,1.1918,4.0224,13048.74,1860.5157,547.7303,1312.7854,0,210,本次命中本地缓存 9990 根 | 补拉最新 10 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,2,EMA21挂单 | SL x1 | 动态止盈 | 每波开仓2
dynamic,ETH-USDT-SWAP,1H,1小时,做多,55,1,2,-,-,100,29.00,4980.3809,49.80,0.5001,827.5999,5.52,1.7833,4.3661,14980.38,295.8110,86.4446,209.3664,0,100,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA55挂单 | SL x2 | 动态止盈 | 每波开仓1
dynamic,ETH-USDT-SWAP,1H,1小时,做空,21,2,2,-,-,98,20.41,797.9588,7.98,0.0827,2641.4036,23.52,1.1180,4.3600,10797.96,260.6328,76.7688,183.8640,0,98,本次命中本地缓存 10000 根 | 补拉最新 0 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,2,EMA21挂单 | SL x2 | 动态止盈 | 每波开仓2
dynamic,BNB-USDT-SWAP,1H,1小时,做多,21,1,2,-,-,114,32.46,3774.7552,37.75,0.3400,995.3986,7.12,1.5203,3.1640,13774.76,483.9448,141.8858,342.0590,0,114,本次命中本地缓存 9990 根 | 补拉最新 10 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA21挂单 | SL x2 | 动态止盈 | 每波开仓1
dynamic,BNB-USDT-SWAP,1H,1小时,做空,55,1,1.5,-,-,124,22.58,1214.9143,12.15,0.1117,2797.5580,23.54,1.1390,3.9051,11214.91,670.6857,197.4602,473.2255,0,124,本次命中本地缓存 9990 根 | 补拉最新 10 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA55挂单 | SL x1.5 | 动态止盈 | 每波开仓1
dynamic,SOL-USDT-SWAP,1H,1小时,做多,55,2,1,-,-,169,24.85,2958.3422,29.58,0.1750,1305.9456,9.75,1.2530,3.7890,12958.34,851.6633,250.0858,601.5775,0,169,本次命中本地缓存 9990 根 | 补拉最新 10 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,2,EMA55挂单 | SL x1 | 动态止盈 | 每波开仓2
dynamic,SOL-USDT-SWAP,1H,1小时,做空,21,2,1,-,-,238,26.89,5312.4712,53.12,0.2232,2235.6708,14.19,1.3252,3.6028,15312.47,1195.7953,352.3936,843.4017,0,238,本次命中本地缓存 9990 根 | 补拉最新 10 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,2,EMA21挂单 | SL x1 | 动态止盈 | 每波开仓2
dynamic,DOGE-USDT-SWAP,1H,1小时,做多,21,2,2,-,-,113,20.35,413.0502,4.13,0.0366,1733.9052,14.96,1.0538,4.1237,10413.05,252.3188,74.1410,178.1779,0,113,本次命中本地缓存 9990 根 | 补拉最新 10 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,2,EMA21挂单 | SL x2 | 动态止盈 | 每波开仓2
dynamic,DOGE-USDT-SWAP,1H,1小时,做空,55,1,2,-,-,107,26.17,5801.3692,58.01,0.5422,1822.6541,10.73,1.7952,5.0650,15801.37,264.6270,78.4737,186.1532,0,107,本次命中本地缓存 9990 根 | 补拉最新 10 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA55挂单 | SL x2 | 动态止盈 | 每波开仓1
dynamic,BTC-USDT-SWAP,4H,4小时,做多,21,1,1.5,-,-,121,31.40,5722.4563,57.22,0.4946,1088.0567,6.92,1.8222,3.9801,15722.46,298.8317,87.2541,211.5776,0,121,本次命中本地缓存 9997 根 | 补拉最新 3 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA21挂单 | SL x1.5 | 动态止盈 | 每波开仓1
dynamic,BTC-USDT-SWAP,4H,4小时,做空,55,2,1,-,-,177,25.42,2790.4229,27.90,0.1599,1012.2184,7.52,1.2428,3.6455,12790.42,676.4951,199.3362,477.1589,0,177,本次命中本地缓存 9997 根 | 补拉最新 3 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,2,EMA55挂单 | SL x1 | 动态止盈 | 每波开仓2
dynamic,ETH-USDT-SWAP,4H,4小时,做多,21,1,1,-,-,153,23.53,2675.6393,26.76,0.1747,1396.7988,11.01,1.2461,4.0500,12675.64,468.9680,137.5988,331.3692,0,153,本次命中本地缓存 9997 根 | 补拉最新 3 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA21挂单 | SL x1 | 动态止盈 | 每波开仓1
dynamic,ETH-USDT-SWAP,4H,4小时,做空,55,2,2,-,-,102,26.47,3115.7639,31.16,0.3069,1186.9318,8.84,1.4494,4.0260,13115.76,149.3373,44.2685,105.0689,0,102,本次命中本地缓存 9997 根 | 补拉最新 3 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,2,EMA55挂单 | SL x2 | 动态止盈 | 每波开仓2
dynamic,BNB-USDT-SWAP,4H,4小时,做多,21,2,1,-,-,164,32.93,4163.0925,41.63,0.2592,1112.5314,7.80,1.4158,2.8841,14163.09,589.4075,172.8519,416.5556,0,164,本次命中本地缓存 7260 根 | 补拉最新 3 根 | 本次回测取数 7263 根,开启,开启,0.0000,0.0300,2,EMA21挂单 | SL x1 | 动态止盈 | 每波开仓2
dynamic,BNB-USDT-SWAP,4H,4小时,做空,55,1,1,-,-,109,29.36,2227.3376,22.27,0.2121,1611.2154,12.85,1.3037,3.1370,12227.34,430.1624,126.7997,303.3627,0,109,本次命中本地缓存 7260 根 | 补拉最新 3 根 | 本次回测取数 7263 根,开启,开启,0.0000,0.0300,1,EMA55挂单 | SL x1 | 动态止盈 | 每波开仓1
dynamic,SOL-USDT-SWAP,4H,4小时,做多,21,0,2,-,-,112,27.68,2476.6141,24.77,0.2211,821.7426,6.32,1.3388,3.4981,12476.61,104.8071,30.5523,74.2548,0,112,本次命中本地缓存 9997 根 | 补拉最新 3 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,不限(0),EMA21挂单 | SL x2 | 动态止盈 | 每波开仓不限(0)
dynamic,SOL-USDT-SWAP,4H,4小时,做空,21,1,1,-,-,167,29.94,5813.1015,58.13,0.3481,872.0899,5.30,1.5497,3.6262,15813.10,340.1192,100.6866,239.4326,0,167,本次命中本地缓存 9997 根 | 补拉最新 3 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,1,EMA21挂单 | SL x1 | 动态止盈 | 每波开仓1
dynamic,DOGE-USDT-SWAP,4H,4小时,做多,21,3,1,-,-,218,25.69,2182.1866,21.82,0.1001,2030.4925,14.29,1.1466,3.3169,12182.19,450.2582,132.1502,318.1081,0,218,本次命中本地缓存 9997 根 | 补拉最新 3 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,3,EMA21挂单 | SL x1 | 动态止盈 | 每波开仓3
dynamic,DOGE-USDT-SWAP,4H,4小时,做空,21,3,1,-,-,235,26.81,9012.6788,90.13,0.3835,1248.4464,6.16,1.6140,4.4064,19012.68,541.3568,160.2342,381.1226,0,235,本次命中本地缓存 9997 根 | 补拉最新 3 根 | 本次回测取数 10000 根,开启,开启,0.0000,0.0300,3,EMA21挂单 | SL x1 | 动态止盈 | 每波开仓3
