时间,总权益,历史峰值,当前回撤,累计收益率
2019-12-20 07:00:00,10000.0,10000.0,0.0,0.0
2019-12-20 08:00:00,10000.0,10000.0,0.0,0.0
2019-12-20 09:00:00,10000.0,10000.0,0.0,0.0
2019-12-20 10:00:00,10000.0,10000.0,0.0,0.0
2019-12-20 11:00:00,10000.0,10000.0,0.0,0.0
2019-12-20 12:00:00,10000.0,10000.0,0.0,0.0
2019-12-20 13:00:00,10000.0,10000.0,0.0,0.0
2019-12-20 14:00:00,10000.0,10000.0,0.0,0.0
2019-12-20 15:00:00,10000.0,10000.0,0.0,0.0
2019-12-20 16:00:00,10000.0,10000.0,0.0,0.0
2019-12-20 17:00:00,10000.0,10000.0,0.0,0.0
2019-12-20 18:00:00,10000.0,10000.0,0.0,0.0
2019-12-20 19:00:00,10000.0,10000.0,0.0,0.0
2019-12-20 20:00:00,10000.0,10000.0,0.0,0.0
2019-12-20 21:00:00,10000.0,10000.0,0.0,0.0
2019-12-20 22:00:00,10000.0,10000.0,0.0,0.0
2019-12-20 23:00:00,10000.0,10000.0,0.0,0.0
2019-12-21 00:00:00,10000.0,10000.0,0.0,0.0
2019-12-21 01:00:00,10000.0,10000.0,0.0,0.0
2019-12-21 02:00:00,10000.0,10000.0,0.0,0.0
2019-12-21 03:00:00,10000.0,10000.0,0.0,0.0
2019-12-21 04:00:00,10000.0,10000.0,0.0,0.0
2019-12-21 05:00:00,10000.0,10000.0,0.0,0.0
2019-12-21 06:00:00,10000.0,10000.0,0.0,0.0
2019-12-21 07:00:00,10000.0,10000.0,0.0,0.0
2019-12-21 08:00:00,10000.0,10000.0,0.0,0.0
2019-12-21 09:00:00,10000.0,10000.0,0.0,0.0
2019-12-21 10:00:00,10000.0,10000.0,0.0,0.0
2019-12-21 11:00:00,10000.0,10000.0,0.0,0.0
2019-12-21 12:00:00,10000.0,10000.0,0.0,0.0
2019-12-21 13:00:00,10000.0,10000.0,0.0,0.0
2019-12-21 14:00:00,10000.0,10000.0,0.0,0.0
2019-12-21 15:00:00,10000.0,10000.0,0.0,0.0
2019-12-21 16:00:00,10000.0,10000.0,0.0,0.0
2019-12-21 17:00:00,10000.0,10000.0,0.0,0.0
2019-12-21 18:00:00,10000.0,10000.0,0.0,0.0
2019-12-21 19:00:00,10000.0,10000.0,0.0,0.0
2019-12-21 20:00:00,10000.0,10000.0,0.0,0.0
2019-12-21 21:00:00,10000.0,10000.0,0.0,0.0
2019-12-21 22:00:00,10000.0,10000.0,0.0,0.0
2019-12-21 23:00:00,10000.0,10000.0,0.0,0.0
2019-12-22 00:00:00,10000.0,10000.0,0.0,0.0
2019-12-22 01:00:00,10000.0,10000.0,0.0,0.0
2019-12-22 02:00:00,10000.0,10000.0,0.0,0.0
2019-12-22 03:00:00,10000.0,10000.0,0.0,0.0
2019-12-22 04:00:00,10000.0,10000.0,0.0,0.0
2019-12-22 05:00:00,10000.0,10000.0,0.0,0.0
2019-12-22 06:00:00,10000.0,10000.0,0.0,0.0
2019-12-22 07:00:00,10000.0,10000.0,0.0,0.0
2019-12-22 08:00:00,10000.0,10000.0,0.0,0.0
2019-12-22 09:00:00,10000.0,10000.0,0.0,0.0
2019-12-22 10:00:00,10000.0,10000.0,0.0,0.0
2019-12-22 11:00:00,10000.0,10000.0,0.0,0.0
2019-12-22 12:00:00,10000.0,10000.0,0.0,0.0
2019-12-22 13:00:00,10000.0,10000.0,0.0,0.0
2019-12-22 14:00:00,10000.0,10000.0,0.0,0.0
